,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7802,0.6612,0.3333,0.1111,0.1667,0.1869,0.9864
0_1,0.8596,0.8306,0.6667,0.3333,0.4444,0.4685,0.9932
0_2,0.984,0.8292,0.6667,0.25,0.3636,0.4046,0.9905
0_3,0.7428,0.6632,0.3333,0.1667,0.2222,0.2313,0.9905
0_4,0.8564,0.4993,0.0,0.0,,-0.0024,0.9946
0_5,0.9749,0.4945,0.0,0.0,,-0.0067,0.985
0_6,0.5575,0.6216,0.25,0.1667,0.2,0.1988,0.9891
0_7,0.8966,0.6243,0.25,0.5,0.3333,0.3511,0.9946
0_8,0.8473,0.7459,0.5,0.25,0.3333,0.3487,0.9891
0_9,0.7119,0.6619,0.3333,0.125,0.1818,0.1989,0.9877
0_Mean,0.8211,0.6632,0.3333,0.1903,0.2807,0.238,0.9901
0_SD,0.1285,0.1159,0.2324,0.1519,0.1014,0.1596,0.0033
Mean,0.8211,0.6632,0.3333,0.1903,0.2807,0.238,0.9901
SD,0.1285,0.1159,0.2324,0.1519,0.1014,0.1596,0.0033
