,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7626,0.0468,0.5542,0.125,0.0769,,0.0952,0.0854,0.9741,1,713,12,7
0_1,0.8028,0.1544,0.5535,0.125,0.0714,,0.0909,0.0813,0.9727,1,712,13,7
0_2,0.6999,0.0557,0.6126,0.25,0.1,,0.1429,0.1436,0.9673,2,707,18,6
0_3,0.8838,0.13,0.6772,0.375,0.1667,,0.2308,0.2379,0.9727,3,710,15,5
0_4,0.6256,0.0338,0.6126,0.25,0.1,,0.1429,0.1436,0.9673,2,707,18,6
0_5,0.7328,0.1492,0.548,0.125,0.0455,,0.0667,0.0585,0.9618,1,704,21,7
0_6,0.8069,0.0484,0.6153,0.25,0.125,,0.1667,0.164,0.9727,2,711,14,6
0_7,0.6609,0.0219,0.5508,0.125,0.0556,,0.0769,0.0682,0.9673,1,708,17,7
0_8,0.8788,0.4769,0.8001,0.625,0.2174,,0.3226,0.3577,0.9714,5,707,18,3
0_9,0.8409,0.324,0.7591,0.5556,0.1562,,0.2439,0.2793,0.9577,5,697,27,4
0_Mean,0.7695,0.1441,0.6283,0.2806,0.1115,,0.1579,0.1619,0.9685,2.3,707.6,17.3,5.8
0_SD,0.089,0.148,0.0902,0.1834,0.0548,,0.0841,0.1002,0.0054,1.5670212364724212,4.623610902506587,4.3728963196286985,1.398411797560202
Mean,0.7695,0.1441,0.6283,0.2806,0.1115,,0.158,0.1619,0.9685,2.3,707.6,17.3,5.8
SD,0.089,0.1479,0.0902,0.1834,0.0548,,0.0841,0.1002,0.0054,1.567,4.6236,4.3729,1.3984
