,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7829,0.0718,0.673,0.375,0.125,,0.1875,0.202,0.9646,3,705,21,5
0_1,0.4551,0.0093,0.4835,0.0,0.0,,,-0.0193,0.9564,0,702,24,8
0_2,0.7488,0.2156,0.739,0.5,0.2,,0.2857,0.3048,0.9728,4,710,16,4
0_3,0.6507,0.1462,0.5563,0.125,0.1,,0.1111,0.1009,0.9782,1,717,9,7
0_4,0.777,0.2185,0.614,0.25,0.1111,,0.1538,0.153,0.97,2,710,16,6
0_5,0.7266,0.0576,0.6126,0.25,0.1,,0.1429,0.1436,0.9673,2,708,18,6
0_6,0.886,0.088,0.6112,0.25,0.0909,,0.1333,0.1355,0.9646,2,706,20,6
0_7,0.7655,0.081,0.6487,0.3333,0.1034,,0.1579,0.1681,0.9564,3,699,26,6
0_8,0.3799,0.0098,0.4931,0.0,0.0,,,-0.0131,0.9741,0,715,10,9
0_9,0.7779,0.0595,0.6015,0.2222,0.125,,0.16,0.1529,0.9714,2,711,14,7
0_Mean,0.695,0.0957,0.6033,0.2306,0.0955,,0.1665,0.1328,0.9676,1.9,708.3,17.4,6.4
0_SD,0.1583,0.0749,0.0777,0.1573,0.0589,,0.053,0.0955,0.0072,1.286683937707919,5.538752366533259,5.561774297230456,1.429840705968481
Mean,0.695,0.0957,0.6033,0.2305,0.0955,,0.1665,0.1328,0.9676,1.9,708.3,17.4,6.4
SD,0.1583,0.0749,0.0777,0.1573,0.0589,,0.053,0.0954,0.0072,1.2867,5.5388,5.5618,1.4298
