,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6798,0.6402,0.3158,0.1765,0.2264,0.2116,0.9493
0_1,0.7171,0.6316,0.3,0.1714,0.2182,0.2009,0.9468
0_2,0.7181,0.655,0.3684,0.1321,0.1944,0.1898,0.9281
0_3,0.6372,0.5323,0.1053,0.0588,0.0755,0.0488,0.9393
0_4,0.6464,0.6683,0.3684,0.2188,0.2745,0.2616,0.9542
0_5,0.6529,0.5342,0.1053,0.0645,0.08,0.054,0.943
0_6,0.5979,0.5618,0.1579,0.1,0.1224,0.0991,0.9467
0_7,0.7111,0.6389,0.3158,0.1667,0.2182,0.204,0.9467
0_8,0.6206,0.5805,0.2105,0.093,0.129,0.1087,0.9331
0_9,0.7616,0.6576,0.3684,0.1429,0.2059,0.2001,0.9331
0_Mean,0.6743,0.61,0.2616,0.1325,0.1745,0.1578,0.942
0_SD,0.0517,0.0526,0.1074,0.0525,0.0678,0.0738,0.0083
Mean,0.6743,0.61,0.2616,0.1325,0.1744,0.1579,0.942
SD,0.0517,0.0526,0.1074,0.0525,0.0678,0.0738,0.0084
