,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6128,0.4046,0.6147,0.84,0.0419,,0.0798,0.0816,0.4032,21,306,480,4
0_1,0.5852,0.4033,0.5845,0.8,0.0388,,0.0739,0.0607,0.3822,20,290,496,5
0_2,0.6707,0.4663,0.6547,0.92,0.0457,,0.0871,0.1102,0.4057,23,306,480,2
0_3,0.6089,0.405,0.6061,0.8,0.0415,,0.0789,0.0747,0.4242,20,324,462,5
0_4,0.5758,0.3642,0.634,0.88,0.0437,,0.0833,0.0955,0.4032,22,305,481,3
0_5,0.6325,0.4254,0.6248,0.84,0.0433,,0.0824,0.088,0.4229,21,322,464,4
0_6,0.604,0.3851,0.6191,0.84,0.0425,,0.0809,0.0844,0.4118,21,313,473,4
0_7,0.6329,0.4487,0.6199,0.8462,0.0442,,0.084,0.0868,0.4081,22,309,476,4
0_8,0.6149,0.4048,0.5949,0.8,0.0401,,0.0763,0.0675,0.4025,20,306,479,5
0_9,0.5957,0.3847,0.6117,0.84,0.0416,,0.0792,0.0798,0.3975,21,301,484,4
0_Mean,0.6133,0.4092,0.6164,0.8406,0.0423,,0.0806,0.0829,0.4061,21.1,308.2,477.5,4.0
0_SD,0.0272,0.0305,0.0197,0.0378,0.002,,0.0038,0.014,0.0121,0.9944289260117531,9.840957496323437,9.755340417774597,0.9428090415820634
Mean,0.6133,0.4092,0.6164,0.8406,0.0423,,0.0806,0.0829,0.4061,21.1,308.2,477.5,4.0
SD,0.0272,0.0305,0.0197,0.0378,0.002,,0.0038,0.014,0.0121,0.9944,9.841,9.7553,0.9428
