,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.4671,0.4671,0.6,0.0055,0.011,-0.0109,0.3358
0_1,0.6634,0.6627,1.0,0.0091,0.018,0.0544,0.3296
0_2,0.5579,0.5615,0.8,0.0073,0.0144,0.0206,0.326
0_3,0.6671,0.6634,1.0,0.0091,0.0181,0.0546,0.3309
0_4,0.4618,0.4677,0.6,0.0056,0.011,-0.0107,0.337
0_5,0.5635,0.5665,0.8,0.0074,0.0146,0.0221,0.3358
0_6,0.6634,0.659,1.0,0.009,0.0178,0.0535,0.3223
0_7,0.6485,0.6473,1.0,0.0087,0.0172,0.0506,0.2989
0_8,0.5297,0.5328,0.75,0.0054,0.0107,0.0099,0.3177
0_9,0.4594,0.4648,0.6,0.0055,0.0109,-0.0117,0.3313
0_Mean,0.5682,0.5693,0.815,0.0073,0.0144,0.0232,0.3265
0_SD,0.0878,0.0849,0.1765,0.0016,0.0032,0.0286,0.0115
Mean,0.5682,0.5693,0.815,0.0073,0.0144,0.0232,0.3265
SD,0.0878,0.0849,0.1765,0.0016,0.0033,0.0286,0.0115
