,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6025,0.5102,0.572,1.0,0.019,,0.0374,0.0524,0.158,12,104,618,0
0_1,0.4861,0.3849,0.4866,0.8333,0.0158,,0.0311,-0.0098,0.1512,10,101,621,2
0_2,0.5943,0.5109,0.5756,1.0,0.0208,,0.0408,0.0561,0.1662,13,109,612,0
0_3,0.5186,0.4337,0.5205,0.9231,0.0185,,0.0363,0.0168,0.1322,12,85,636,1
0_4,0.5329,0.434,0.5756,1.0,0.0208,,0.0408,0.0561,0.1662,13,109,612,0
0_5,0.5534,0.4722,0.5226,0.9231,0.0186,,0.0365,0.0182,0.1362,12,88,633,1
0_6,0.437,0.3564,0.4959,0.8462,0.0175,,0.0344,-0.0031,0.158,11,105,616,2
0_7,0.4642,0.3948,0.4401,0.7692,0.0154,,0.0301,-0.0499,0.1226,10,80,641,3
0_8,0.5541,0.4722,0.5392,0.9231,0.0193,,0.0379,0.0287,0.1689,12,112,609,1
0_9,0.5098,0.4335,0.4994,0.8462,0.0177,,0.0346,-0.0005,0.1649,11,110,611,2
0_Mean,0.5253,0.4403,0.5227,0.9064,0.0184,,0.036,0.0165,0.1525,11.6,100.3,620.9,1.2
0_SD,0.0535,0.0519,0.0443,0.0806,0.0018,,0.0036,0.0339,0.0164,1.0749676997731399,11.624208455728168,11.589746426139882,1.0327955589886444
Mean,0.5253,0.4403,0.5228,0.9064,0.0183,,0.036,0.0165,0.1524,11.6,100.3,620.9,1.2
SD,0.0535,0.0519,0.0443,0.0806,0.0018,,0.0036,0.0339,0.0164,1.075,11.6242,11.5897,1.0328
