,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5865,0.4582,0.5703,0.9,0.0146,,0.0287,0.0364,0.2488,9,193,609,1
0_1,0.5749,0.458,0.5703,0.9,0.0146,,0.0287,0.0364,0.2488,9,193,609,1
0_2,0.623,0.5089,0.6161,1.0,0.0176,,0.0345,0.0639,0.2426,11,186,615,0
0_3,0.5176,0.3726,0.5283,0.8182,0.0145,,0.0286,0.0154,0.2463,9,191,610,2
0_4,0.588,0.4635,0.5844,0.9091,0.0166,,0.0326,0.0446,0.2685,10,208,593,1
0_5,0.593,0.4636,0.6205,1.0,0.0178,,0.0349,0.0654,0.2512,11,193,608,0
0_6,0.4994,0.3722,0.4985,0.7273,0.0135,,0.0265,-0.0008,0.2759,8,216,585,3
0_7,0.6255,0.5082,0.6205,1.0,0.0162,,0.0318,0.0624,0.2503,10,193,608,0
0_8,0.6348,0.5084,0.6317,1.0,0.0167,,0.0328,0.0663,0.2725,10,211,590,0
0_9,0.6292,0.5083,0.6248,1.0,0.0164,,0.0322,0.0639,0.2589,10,200,601,0
0_Mean,0.5872,0.4622,0.5865,0.9255,0.0158,,0.0311,0.0454,0.2564,9.7,198.4,602.8,0.8
0_SD,0.0466,0.0524,0.0452,0.0944,0.0014,,0.0028,0.0236,0.0118,0.9486832980505138,9.935346552139544,10.064238117656442,1.0327955589886446
Mean,0.5872,0.4622,0.5865,0.9255,0.0158,,0.0311,0.0454,0.2564,9.7,198.4,602.8,0.8
SD,0.0466,0.0524,0.0452,0.0943,0.0015,,0.0028,0.0236,0.0119,0.9487,9.9353,10.0642,1.0328
