,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5208,0.5212,0.3333,0.0042,0.0083,0.0056,0.7076
0_1,0.6289,0.628,0.6667,0.006,0.0118,0.0315,0.5897
0_2,0.7873,0.7873,1.0,0.0086,0.0171,0.0704,0.5762
0_3,0.5549,0.5552,0.5,0.0032,0.0063,0.0112,0.6101
0_4,0.7818,0.7811,1.0,0.0056,0.0111,0.0561,0.5633
0_5,0.6171,0.6173,0.6667,0.0057,0.0113,0.0287,0.5683
0_6,0.7944,0.7944,1.0,0.0089,0.0177,0.0725,0.5904
0_7,0.5,0.5,0.3333,0.0037,0.0073,0.0,0.6654
0_8,0.7722,0.7722,1.0,0.0081,0.016,0.0663,0.5461
0_9,0.492,0.492,0.3333,0.0035,0.007,-0.002,0.6494
0_Mean,0.6449,0.6449,0.6833,0.0057,0.0114,0.034,0.6067
0_SD,0.1276,0.1275,0.2987,0.0022,0.0043,0.0301,0.0516
Mean,0.6449,0.6449,0.6833,0.0058,0.0114,0.034,0.6066
SD,0.1276,0.1274,0.2987,0.0022,0.0043,0.0301,0.0516
