,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.54,0.3363,0.54,0.6667,0.0046,,0.0092,0.0104,0.4144,2,303,430,1
0_1,0.3665,0.1692,0.3665,0.3333,0.0023,,0.0045,-0.0347,0.3995,1,293,440,2
0_2,0.6872,0.5043,0.6872,1.0,0.0087,,0.0172,0.0569,0.3777,4,274,458,0
0_3,0.5721,0.379,0.5717,0.75,0.0067,,0.0133,0.0216,0.3954,3,288,444,1
0_4,0.6988,0.5034,0.6981,1.0,0.0067,,0.0134,0.0517,0.3986,3,290,442,0
0_5,0.5499,0.3364,0.5499,0.6667,0.0048,,0.0095,0.0128,0.434,2,317,415,1
0_6,0.3825,0.1692,0.3825,0.3333,0.0024,,0.0048,-0.0302,0.4313,1,316,416,2
0_7,0.5458,0.3364,0.5458,0.6667,0.0047,,0.0094,0.0118,0.4259,2,311,421,1
0_8,0.3764,0.1692,0.3764,0.3333,0.0023,,0.0047,-0.0319,0.419,1,307,425,2
0_9,0.5565,0.3365,0.556,0.6667,0.0049,,0.0097,0.0144,0.4463,2,326,406,1
0_Mean,0.5276,0.324,0.5274,0.6417,0.0048,,0.0096,0.0083,0.4142,2.1,302.5,429.7,1.1
0_SD,0.1194,0.1248,0.1193,0.2486,0.0021,,0.0042,0.0324,0.0211,0.9944289260117533,16.008678202080826,16.076552974924553,0.7378647873726218
Mean,0.5276,0.324,0.5274,0.6417,0.0048,,0.0096,0.0083,0.4142,2.1,302.5,429.7,1.1
SD,0.1195,0.1248,0.1193,0.2486,0.0021,,0.0042,0.0324,0.0211,0.9944,16.0087,16.0766,0.7379
