,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7062,0.7372,0.6,0.7,0.6364,,0.6667,0.2039,0.6111,7,4,4,3
0_1,0.2875,0.4233,0.4375,0.5,0.5,,0.5,-0.125,0.4444,5,3,5,5
0_2,0.6125,0.7457,0.475,0.7,0.5385,,0.6087,-0.0555,0.5,7,2,6,3
0_3,0.8117,0.8753,0.6948,0.8182,0.75,,0.7826,0.4029,0.7222,9,4,3,2
0_4,0.8961,0.9488,0.6948,0.8182,0.75,,0.7826,0.4029,0.7222,9,4,3,2
0_5,0.6571,0.781,0.5643,0.7,0.6364,,0.6667,0.1324,0.5882,7,3,4,3
0_6,0.5571,0.7173,0.4714,0.8,0.5714,,0.6667,-0.0738,0.5294,8,1,6,2
0_7,0.55,0.7144,0.4929,0.7,0.5833,,0.6364,-0.0154,0.5294,7,2,5,3
0_8,0.6429,0.711,0.6357,0.7,0.7,,0.7,0.2714,0.6471,7,4,3,3
0_9,0.55,0.5845,0.5214,0.9,0.6,,0.72,0.0655,0.5882,9,1,6,1
0_Mean,0.6271,0.7238,0.5588,0.7336,0.6266,,0.673,0.1209,0.5882,7.5,2.8,4.5,2.7
0_SD,0.1654,0.1443,0.0941,0.1088,0.0853,,0.0833,0.1943,0.0915,1.2692955176439846,1.2292725943057181,1.2692955176439846,1.0593499054713802
Mean,0.6271,0.7238,0.5588,0.7336,0.6266,,0.673,0.1209,0.5882,7.5,2.8,4.5,2.7
SD,0.1654,0.1443,0.0941,0.1088,0.0853,,0.0833,0.1943,0.0915,1.2693,1.2293,1.2693,1.0593
