,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7143,0.6251,0.275,0.3667,0.3143,0.2872,0.9407
0_1,0.8028,0.668,0.375,0.3333,0.3529,0.3178,0.932
0_2,0.7393,0.5941,0.2195,0.2727,0.2432,0.2088,0.9308
0_3,0.7082,0.5935,0.2195,0.2647,0.24,0.2044,0.9295
0_4,0.7596,0.632,0.2927,0.3529,0.32,0.2886,0.937
0_5,0.7168,0.6344,0.3,0.3333,0.3158,0.2826,0.9356
0_6,0.7862,0.6594,0.35,0.3684,0.359,0.3266,0.9381
0_7,0.7729,0.6678,0.35,0.56,0.4308,0.4205,0.9542
0_8,0.7597,0.5654,0.175,0.1707,0.1728,0.1292,0.9171
0_9,0.7958,0.6462,0.325,0.3421,0.3333,0.2997,0.9356
0_Mean,0.7556,0.6286,0.2882,0.3365,0.3082,0.2765,0.9351
0_SD,0.0347,0.0347,0.0659,0.0994,0.0728,0.0798,0.0094
Mean,0.7556,0.6286,0.2882,0.3365,0.3082,0.2765,0.9351
SD,0.0347,0.0347,0.0659,0.0994,0.0728,0.0798,0.0094
