,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7909,0.6696,0.3529,0.3529,0.3529,0.3391,0.9729
0_1,0.736,0.6139,0.2353,0.4,0.2963,0.2956,0.9766
0_2,0.8551,0.7009,0.4118,0.4667,0.4375,0.4271,0.9778
0_3,0.7533,0.637,0.2941,0.2381,0.2632,0.2471,0.9655
0_4,0.8393,0.6818,0.375,0.4,0.3871,0.3754,0.9766
0_5,0.9256,0.6506,0.3125,0.3571,0.3333,0.3216,0.9753
0_6,0.6919,0.5268,0.0625,0.125,0.0833,0.0756,0.9729
0_7,0.7026,0.5906,0.1875,0.375,0.25,0.255,0.9778
0_8,0.7069,0.62,0.25,0.3333,0.2857,0.2764,0.9753
0_9,0.8218,0.6439,0.2941,0.5,0.3704,0.3736,0.979
0_Mean,0.7823,0.6335,0.2776,0.3548,0.306,0.2986,0.975
0_SD,0.0774,0.0499,0.101,0.108,0.0978,0.0972,0.0039
Mean,0.7823,0.6335,0.2776,0.3548,0.306,0.2986,0.975
SD,0.0774,0.0499,0.101,0.108,0.0978,0.0972,0.0039
