,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8872,0.4966,0.0,0.0,,-0.0087,0.9823
0_1,0.833,0.5618,0.125,0.5,0.2,0.2462,0.9891
0_2,0.6622,0.4979,0.0,0.0,,-0.0067,0.985
0_3,0.7584,0.6209,0.25,0.25,0.25,0.2417,0.9836
0_4,0.6734,0.5591,0.125,0.1667,0.1429,0.1362,0.9836
0_5,0.7201,0.5584,0.125,0.1429,0.1333,0.1247,0.9823
0_6,0.8904,0.5591,0.125,0.1667,0.1429,0.1362,0.9836
0_7,0.8028,0.4979,0.0,0.0,,-0.0067,0.985
0_8,0.8531,0.8063,0.625,0.3571,0.4545,0.465,0.9836
0_9,0.7347,0.6056,0.2222,0.2,0.2105,0.2005,0.9795
0_Mean,0.7815,0.5763,0.1597,0.1783,0.2192,0.1528,0.9838
0_SD,0.0841,0.0916,0.1856,0.1626,0.1124,0.1471,0.0024
Mean,0.7815,0.5764,0.1597,0.1783,0.2192,0.1528,0.9838
SD,0.0841,0.0916,0.1856,0.1626,0.1124,0.1471,0.0025
