,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7683,0.0246,0.498,0.0,0.0,,,-0.0041,0.9918,0,730,3,3
0_1,0.7835,0.0569,0.5,0.0,,,,0.0,0.9959,0,733,0,3
0_2,0.6732,0.0412,0.4993,0.0,0.0,,,-0.0027,0.9932,0,731,1,4
0_3,0.6438,0.0107,0.4973,0.0,0.0,,,-0.0055,0.9891,0,728,4,4
0_4,0.7905,0.1248,0.4993,0.0,0.0,,,-0.0024,0.9946,0,731,1,3
0_5,0.7857,0.0472,0.498,0.0,0.0,,,-0.0041,0.9918,0,729,3,3
0_6,0.9886,0.1511,0.4993,0.0,0.0,,,-0.0024,0.9946,0,731,1,3
0_7,0.7967,0.6694,0.8333,0.6667,1.0,,0.8,0.8159,0.9986,2,732,0,1
0_8,0.7327,0.0302,0.4973,0.0,0.0,,,-0.0047,0.9905,0,728,4,3
0_9,0.7771,0.3465,0.6653,0.3333,0.3333,,0.3333,0.3306,0.9946,1,730,2,2
0_Mean,0.774,0.1502,0.5487,0.1,0.1481,,0.5667,0.1121,0.9935,0.3,730.3,1.9,2.9
0_SD,0.0919,0.2081,0.1129,0.225,0.3379,,0.33,0.2687,0.0028,0.6749485577105528,1.6363916944844767,1.5238839267549946,0.8755950357709131
Mean,0.774,0.1503,0.5487,0.1,0.1481,,0.5666,0.1121,0.9935,0.3,730.3,1.9,2.9
SD,0.0919,0.2081,0.1129,0.225,0.3379,,0.33,0.2686,0.0028,0.6749,1.6364,1.5239,0.8756
