,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6722,0.1373,0.5501,0.1053,0.3333,,0.16,0.1768,0.974,2,785,4,17
0_1,0.831,0.1809,0.5949,0.2,0.3333,,0.25,0.2439,0.9703,4,780,8,16
0_2,0.8088,0.1216,0.5713,0.1579,0.2,,0.1765,0.1602,0.9653,3,776,12,16
0_3,0.6913,0.0707,0.5476,0.1053,0.2,,0.1379,0.1304,0.969,2,780,8,17
0_4,0.7708,0.1617,0.6002,0.2105,0.3333,,0.2581,0.251,0.9715,4,780,8,15
0_5,0.6995,0.1931,0.5758,0.1579,0.375,,0.2222,0.2319,0.974,3,783,5,16
0_6,0.5755,0.0395,0.5187,0.0526,0.0769,,0.0625,0.045,0.9628,1,776,12,18
0_7,0.765,0.2425,0.6284,0.2632,0.5,,0.3448,0.352,0.9765,5,783,5,14
0_8,0.5999,0.061,0.5488,0.1053,0.25,,0.1481,0.1494,0.9715,2,782,6,17
0_9,0.8032,0.148,0.572,0.1579,0.2143,,0.1818,0.1672,0.9665,3,777,11,16
0_Mean,0.7217,0.1356,0.5708,0.1516,0.2816,,0.1942,0.1908,0.9701,2.9,780.2,7.9,16.2
0_SD,0.0885,0.064,0.0315,0.062,0.1179,,0.0781,0.0833,0.0043,1.1972189997378648,3.119829055146024,2.960855732160327,1.1352924243950933
Mean,0.7217,0.1356,0.5708,0.1516,0.2816,,0.1942,0.1908,0.9701,2.9,780.2,7.9,16.2
SD,0.0885,0.064,0.0315,0.062,0.1179,,0.0781,0.0833,0.0043,1.1972,3.1198,2.9609,1.1353
