,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7197,0.5231,0.0588,0.0909,0.0714,0.0573,0.9679
0_1,0.6761,0.5857,0.1765,0.4286,0.25,0.2655,0.9778
0_2,0.6435,0.5237,0.0588,0.1,0.0741,0.0616,0.9692
0_3,0.666,0.5269,0.0588,0.2,0.0909,0.0984,0.9753
0_4,0.7503,0.5587,0.125,0.25,0.1667,0.1653,0.9753
0_5,0.6531,0.5268,0.0625,0.125,0.0833,0.0755,0.9728
0_6,0.6664,0.5581,0.125,0.2222,0.16,0.1542,0.9741
0_7,0.5716,0.56,0.125,0.3333,0.1818,0.1947,0.9778
0_8,0.6701,0.5231,0.0625,0.0714,0.0667,0.0493,0.9654
0_9,0.6139,0.5282,0.0588,0.3333,0.1,0.1329,0.9778
0_Mean,0.6631,0.5414,0.0912,0.2155,0.1245,0.1255,0.9733
0_SD,0.0498,0.0223,0.0429,0.1213,0.0616,0.0704,0.0044
Mean,0.6631,0.5414,0.0912,0.2155,0.1245,0.1255,0.9733
SD,0.0498,0.0223,0.0429,0.1213,0.0616,0.0704,0.0044
