,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8346,0.1802,0.7081,0.4375,0.2917,,0.35,0.3415,0.968,7,779,17,9
0_1,0.5932,0.15,0.607,0.2353,0.1905,,0.2105,0.1929,0.9631,4,778,17,13
0_2,0.6649,0.172,0.6364,0.2941,0.2273,,0.2564,0.2405,0.9643,5,778,17,12
0_3,0.7774,0.1605,0.6664,0.3529,0.2727,,0.3077,0.2935,0.9667,6,779,16,11
0_4,0.7144,0.2101,0.6401,0.2941,0.3125,,0.303,0.2887,0.9717,5,784,11,12
0_5,0.8749,0.3297,0.6996,0.4118,0.4118,,0.4118,0.3992,0.9754,7,785,10,10
0_6,0.6239,0.0866,0.5868,0.1875,0.2143,,0.2,0.1854,0.9704,3,784,11,13
0_7,0.6634,0.0696,0.5875,0.1875,0.2308,,0.2069,0.1937,0.9716,3,785,10,13
0_8,0.83,0.2187,0.6512,0.3125,0.3846,,0.3448,0.3349,0.9766,5,787,8,11
0_9,0.8173,0.4199,0.7731,0.5625,0.4091,,0.4737,0.4675,0.9753,9,782,13,7
0_Mean,0.7394,0.1997,0.6556,0.3276,0.2945,,0.3065,0.2938,0.9703,5.4,782.1,13.0,11.1
0_SD,0.0999,0.1058,0.0587,0.118,0.0828,,0.0915,0.0943,0.0047,1.8973665961010275,3.3482997343593826,3.4641016151377544,1.9692073983655907
Mean,0.7394,0.1997,0.6556,0.3276,0.2945,,0.3065,0.2938,0.9703,5.4,782.1,13.0,11.1
SD,0.0999,0.1058,0.0587,0.118,0.0828,,0.0915,0.0943,0.0047,1.8974,3.3483,3.4641,1.9692
