,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6792,0.0049,0.4986,0.0,0.0,,,-0.0027,0.9946,0,732,2,2
0_1,0.7956,0.014,0.4986,0.0,0.0,,,-0.0027,0.9946,0,732,2,2
0_2,0.8767,0.0124,0.4986,0.0,0.0,,,-0.0027,0.9946,0,732,2,2
0_3,0.8583,0.5036,0.7493,0.5,0.5,,0.5,0.4986,0.9973,1,733,1,1
0_4,0.904,0.0199,0.4986,0.0,0.0,,,-0.0027,0.9946,0,732,2,2
0_5,0.7473,0.0052,0.4986,0.0,0.0,,,-0.0027,0.9946,0,732,2,2
0_6,0.8052,0.0067,0.5,0.0,,,,0.0,0.9973,0,734,0,2
0_7,0.9959,0.125,0.9973,1.0,0.2,,0.3333,0.446,0.9946,1,730,4,0
0_8,0.8856,0.0059,0.4986,0.0,0.0,,,-0.0019,0.9959,0,732,2,1
0_9,0.7262,0.0025,0.4973,0.0,0.0,,,-0.0027,0.9932,0,730,4,1
0_Mean,0.8274,0.07,0.5736,0.15,0.0778,,0.4167,0.0926,0.9951,0.2,731.9,2.1,1.5
0_SD,0.095,0.1567,0.1684,0.3375,0.1716,,0.1179,0.2005,0.0013,0.42163702135578396,1.1972189997378648,1.1972189997378646,0.7071067811865476
Mean,0.8274,0.07,0.5735,0.15,0.0778,,0.4166,0.0926,0.9951,0.2,731.9,2.1,1.5
SD,0.095,0.1567,0.1685,0.3375,0.1716,,0.1179,0.2005,0.0013,0.4216,1.1972,1.1972,0.7071
