,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5899,0.035,0.5576,0.1538,0.0667,,0.093,0.0767,0.947,2,695,28,11
0_1,0.6745,0.0322,0.4869,0.0,0.0,,,-0.0218,0.9565,0,704,19,13
0_2,0.7294,0.0307,0.4799,0.0,0.0,,,-0.0272,0.9429,0,694,29,13
0_3,0.4789,0.1685,0.5583,0.1538,0.069,,0.0952,0.0789,0.9484,2,696,27,11
0_4,0.6262,0.0278,0.5274,0.0769,0.0588,,0.0667,0.048,0.962,1,707,16,12
0_5,0.772,0.0497,0.5674,0.1667,0.08,,0.1081,0.0943,0.9551,2,700,23,10
0_6,0.6957,0.1731,0.6917,0.4167,0.1724,,0.2439,0.2496,0.9578,5,699,24,7
0_7,0.7339,0.222,0.605,0.2308,0.1667,,0.1935,0.1791,0.966,3,707,15,10
0_8,0.7897,0.044,0.4827,0.0,0.0,,,-0.0252,0.9483,0,697,25,13
0_9,0.5935,0.0751,0.5714,0.1538,0.2,,0.1739,0.1624,0.9741,2,714,8,11
0_Mean,0.6684,0.0858,0.5528,0.1353,0.0814,,0.1392,0.0815,0.9558,1.7,701.3,21.4,11.1
0_SD,0.0964,0.073,0.0649,0.1285,0.0748,,0.0651,0.094,0.0096,1.567021236472421,6.498717822257967,6.752777206453652,1.8529256146249728
Mean,0.6684,0.0858,0.5528,0.1352,0.0814,,0.1392,0.0815,0.9558,1.7,701.3,21.4,11.1
SD,0.0964,0.0731,0.0648,0.1285,0.0748,,0.0651,0.094,0.0096,1.567,6.4987,6.7528,1.8529
