,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8755,0.1523,0.6295,0.2727,0.2143,,0.24,0.23,0.9767,3,792,11,8
0_1,0.7306,0.2822,0.745,0.5,0.3846,,0.4348,0.4306,0.984,5,795,8,5
0_2,0.8948,0.2168,0.6963,0.4,0.4,,0.4,0.3925,0.9852,4,797,6,6
0_3,0.8139,0.1158,0.64,0.3,0.1579,,0.2069,0.2043,0.9717,3,787,16,7
0_4,0.6675,0.0685,0.5919,0.2,0.1333,,0.16,0.1506,0.9742,2,790,13,8
0_5,0.7101,0.0489,0.5419,0.1,0.0714,,0.0833,0.071,0.9729,1,790,13,9
0_6,0.8369,0.0568,0.5423,0.0909,0.1667,,0.1176,0.1143,0.9815,1,797,5,10
0_7,0.8509,0.0958,0.538,0.0909,0.0769,,0.0833,0.0699,0.9729,1,790,12,10
0_8,0.8326,0.2262,0.6743,0.3636,0.25,,0.2963,0.29,0.9766,4,790,12,7
0_9,0.8138,0.0805,0.5822,0.1818,0.125,,0.1481,0.1367,0.9717,2,788,14,9
0_Mean,0.8027,0.1344,0.6181,0.25,0.198,,0.217,0.209,0.9768,2.6,791.6,11.0,7.9
0_SD,0.0749,0.0815,0.0714,0.1419,0.1161,,0.1254,0.1273,0.0051,1.4298407059684812,3.565264521898917,3.559026084010437,1.66332999331662
Mean,0.8027,0.1344,0.6181,0.25,0.198,,0.217,0.209,0.9767,2.6,791.6,11.0,7.9
SD,0.0749,0.0815,0.0714,0.1419,0.1161,,0.1254,0.1273,0.0051,1.4298,3.5653,3.559,1.6633
