,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6183,0.4937,0.0,0.0,,-0.0191,0.9592
0_1,0.628,0.5392,0.0952,0.1429,0.1143,0.0956,0.9578
0_2,0.7701,0.5812,0.1905,0.1667,0.1778,0.1523,0.9497
0_3,0.7262,0.5847,0.1905,0.2105,0.2,0.1779,0.9565
0_4,0.7205,0.5868,0.1905,0.25,0.2162,0.1983,0.9605
0_5,0.7776,0.6336,0.2727,0.6,0.375,0.3929,0.9728
0_6,0.6843,0.5605,0.1364,0.2143,0.1667,0.1508,0.9592
0_7,0.7712,0.5605,0.1364,0.2143,0.1667,0.1508,0.9592
0_8,0.6338,0.5651,0.1429,0.25,0.1818,0.1712,0.9632
0_9,0.6764,0.6085,0.2381,0.25,0.2439,0.2223,0.9578
0_Mean,0.7006,0.5714,0.1593,0.2299,0.2047,0.1693,0.9596
0_SD,0.0616,0.0382,0.0766,0.1504,0.0733,0.1031,0.0058
Mean,0.7006,0.5714,0.1593,0.2299,0.2047,0.1693,0.9596
SD,0.0616,0.0382,0.0766,0.1504,0.0733,0.1031,0.0058
