,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.4277,0.003,0.4988,0.0,0.0,,,-0.003,0.9939,0,809,2,3
0_1,0.9655,0.1768,0.4994,0.0,0.0,,,-0.0021,0.9951,0,810,1,3
0_2,0.6496,0.3364,0.5,0.0,,,,0.0,0.9963,0,811,0,3
0_3,0.6415,0.0032,0.4975,0.0,0.0,,,-0.0035,0.9926,0,807,4,2
0_4,0.9735,0.1422,0.7494,0.5,0.5,,0.5,0.4988,0.9975,1,810,1,1
0_5,0.7305,0.0597,0.6654,0.3333,0.3333,,0.3333,0.3309,0.9951,1,808,2,2
0_6,0.8412,0.2244,0.8321,0.6667,0.5,,0.5714,0.5756,0.9963,2,808,2,1
0_7,0.6891,0.0909,0.666,0.3333,0.5,,0.4,0.4065,0.9963,1,809,1,2
0_8,0.972,0.5398,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_9,0.9794,0.3885,0.6648,0.3333,0.25,,0.2857,0.2856,0.9938,1,807,3,2
0_Mean,0.787,0.1965,0.624,0.25,0.3426,,0.4317,0.2665,0.9955,0.7,808.9,1.6,2.1
0_SD,0.1894,0.1773,0.1195,0.239,0.3293,,0.1103,0.2491,0.0016,0.6749485577105528,1.3703203194062976,1.2649110640673518,0.7378647873726218
Mean,0.787,0.1965,0.624,0.25,0.3426,,0.4317,0.2665,0.9954,0.7,808.9,1.6,2.1
SD,0.1894,0.1774,0.1195,0.239,0.3293,,0.1103,0.2491,0.0016,0.6749,1.3703,1.2649,0.7379
