,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6998,0.5269,0.0588,0.2,0.0909,0.0985,0.9754
0_1,0.6094,0.4975,0.0,0.0,,-0.0103,0.9742
0_2,0.6263,0.5525,0.1176,0.1667,0.1379,0.1247,0.9692
0_3,0.6271,0.5519,0.1176,0.1538,0.1333,0.1184,0.968
0_4,0.5973,0.5851,0.1765,0.375,0.24,0.2467,0.9766
0_5,0.6451,0.5256,0.0588,0.1429,0.0833,0.0794,0.9729
0_6,0.5134,0.5282,0.0588,0.3333,0.1,0.1329,0.9778
0_7,0.4963,0.555,0.1176,0.25,0.16,0.1596,0.9741
0_8,0.731,0.4994,0.0,0.0,,-0.0051,0.9778
0_9,0.6109,0.4937,0.0,0.0,,-0.0163,0.9667
0_Mean,0.6157,0.5316,0.0706,0.1622,0.1351,0.0928,0.9733
0_SD,0.072,0.0298,0.0608,0.1346,0.054,0.0842,0.004
Mean,0.6157,0.5316,0.0706,0.1622,0.1351,0.0929,0.9733
SD,0.072,0.0297,0.0607,0.1346,0.054,0.0842,0.004
