,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.591,0.2709,0.5637,0.475,0.0662,,0.1162,0.0577,0.6436,19,503,268,21
0_1,0.6981,0.3006,0.6697,0.7,0.0915,,0.1618,0.1516,0.6424,28,493,278,12
0_2,0.6716,0.3296,0.6335,0.625,0.0831,,0.1466,0.1197,0.6412,25,495,276,15
0_3,0.6337,0.2884,0.6197,0.6,0.0795,,0.1404,0.1072,0.6375,24,493,278,16
0_4,0.6481,0.2793,0.6275,0.6,0.0828,,0.1455,0.1152,0.6523,24,505,266,16
0_5,0.6656,0.306,0.6508,0.6341,0.0922,,0.161,0.1388,0.6658,26,514,256,15
0_6,0.6444,0.274,0.6232,0.5854,0.0842,,0.1472,0.1131,0.6572,24,509,261,17
0_7,0.7356,0.3478,0.7103,0.6829,0.1217,,0.2066,0.2044,0.7349,28,568,202,13
0_8,0.7117,0.328,0.6891,0.725,0.098,,0.1726,0.1702,0.6568,29,503,267,11
0_9,0.7135,0.3254,0.6846,0.725,0.0957,,0.1691,0.1653,0.6481,29,496,274,11
0_Mean,0.6713,0.305,0.6472,0.6352,0.0895,,0.1567,0.1343,0.658,25.6,507.9,262.6,14.7
0_SD,0.044,0.0268,0.0429,0.077,0.0146,,0.024,0.041,0.0284,3.0983866769659336,22.258331773368223,22.51518006442172,3.0930028559098792
Mean,0.6713,0.305,0.6472,0.6352,0.0895,,0.1567,0.1343,0.658,25.6,507.9,262.6,14.7
SD,0.044,0.0268,0.0429,0.077,0.0146,,0.024,0.041,0.0284,3.0984,22.2583,22.5152,3.093
