,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7573,0.6864,0.625,0.0922,0.1606,0.1639,0.7429
0_1,0.7938,0.7188,0.75,0.0896,0.16,0.181,0.69
0_2,0.7207,0.6813,0.625,0.0889,0.1556,0.1576,0.7331
0_3,0.8035,0.7457,0.75,0.1062,0.186,0.2133,0.7417
0_4,0.808,0.7667,0.8125,0.1066,0.1884,0.2263,0.7245
0_5,0.8189,0.759,0.8125,0.1016,0.1806,0.2169,0.7097
0_6,0.7274,0.7004,0.697,0.0906,0.1603,0.1707,0.7036
0_7,0.7509,0.672,0.6364,0.0843,0.1489,0.1473,0.7048
0_8,0.8135,0.7681,0.8182,0.1093,0.1929,0.23,0.722
0_9,0.7826,0.7625,0.7879,0.1126,0.197,0.2297,0.7392
0_Mean,0.7777,0.7261,0.7314,0.0982,0.173,0.1937,0.7212
0_SD,0.0362,0.0386,0.0799,0.0101,0.0176,0.0327,0.0184
Mean,0.7777,0.7261,0.7314,0.0982,0.173,0.1937,0.7212
SD,0.0361,0.0386,0.0799,0.0101,0.0176,0.0327,0.0184
