,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5386,0.1097,0.5567,0.2,0.0141,,0.0263,0.0314,0.9091,1,739,70,4
0_1,0.631,0.2142,0.6339,0.4,0.0183,,0.0351,0.0614,0.8649,2,702,107,3
0_2,0.5301,0.0056,0.5688,0.25,0.0109,,0.0208,0.0304,0.8844,1,718,91,3
0_3,0.7334,0.122,0.7387,0.6,0.0294,,0.0561,0.1127,0.8758,3,709,99,2
0_4,0.7069,0.015,0.5536,0.2,0.0132,,0.0247,0.0288,0.9028,1,733,75,4
0_5,0.8059,0.121,0.6425,0.4,0.0211,,0.04,0.0693,0.8819,2,715,93,3
0_6,0.6644,0.2264,0.6684,0.4,0.0377,,0.069,0.1067,0.9336,2,757,51,3
0_7,0.637,0.1173,0.6542,0.4,0.0263,,0.0494,0.0828,0.9053,2,734,74,3
0_8,0.6344,0.2153,0.6468,0.4,0.0227,,0.043,0.0739,0.8905,2,722,86,3
0_9,0.7405,0.2267,0.6561,0.4,0.0274,,0.0513,0.0854,0.909,2,737,71,3
0_Mean,0.6622,0.1373,0.632,0.365,0.0221,,0.0416,0.0683,0.8957,1.8,726.6,81.7,3.1
0_SD,0.0875,0.0829,0.0577,0.1203,0.0084,,0.0153,0.0305,0.0201,0.6324555320336759,16.41950060141903,16.5667002011733,0.5676462121975467
Mean,0.6622,0.1373,0.632,0.365,0.0221,,0.0416,0.0683,0.8957,1.8,726.6,81.7,3.1
SD,0.0875,0.0829,0.0577,0.1203,0.0083,,0.0153,0.0305,0.0201,0.6325,16.4195,16.5667,0.5676
