,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6826,0.2518,0.6198,0.4118,0.0486,,0.087,0.0898,0.8192,7,659,137,10
0_1,0.7175,0.3226,0.6912,0.5294,0.0714,,0.1259,0.1512,0.8462,9,679,117,8
0_2,0.7949,0.3591,0.7506,0.7059,0.0686,,0.125,0.1745,0.7934,12,633,163,5
0_3,0.7725,0.3911,0.7324,0.6471,0.0705,,0.1272,0.1689,0.8143,11,651,145,6
0_4,0.7701,0.3265,0.7644,0.7059,0.0784,,0.1412,0.1936,0.8204,12,655,141,5
0_5,0.8229,0.354,0.7543,0.7059,0.071,,0.129,0.1794,0.8007,12,639,157,5
0_6,0.8161,0.3561,0.7619,0.7059,0.0764,,0.1379,0.1898,0.8155,12,651,145,5
0_7,0.7386,0.3261,0.7087,0.5882,0.0685,,0.1227,0.1556,0.8241,10,660,136,7
0_8,0.7042,0.2948,0.6539,0.5,0.0497,,0.0904,0.1073,0.8017,8,643,153,8
0_9,0.7139,0.2575,0.6672,0.5294,0.0549,,0.0994,0.1193,0.7993,9,640,155,8
0_Mean,0.7533,0.324,0.7104,0.6029,0.0658,,0.1186,0.1529,0.8135,10.2,651.0,144.9,6.7
0_SD,0.049,0.0449,0.0508,0.1067,0.0108,,0.0193,0.036,0.0156,1.873795909674026,13.324997394204456,13.236733400318641,1.7669811040931427
Mean,0.7533,0.324,0.7104,0.603,0.0658,,0.1186,0.1529,0.8135,10.2,651.0,144.9,6.7
SD,0.049,0.0449,0.0508,0.1067,0.0108,,0.0193,0.036,0.0155,1.8738,13.325,13.2367,1.767
