,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7377,0.2871,0.7384,0.5,0.0556,,0.1,0.1607,0.9755,1,717,17,1
0_1,0.7101,0.0123,0.4816,0.0,0.0,,,-0.0102,0.9606,0,707,27,2
0_2,0.4891,0.0014,0.4918,0.0,0.0,,,-0.0067,0.981,0,722,12,2
0_3,0.9911,0.5667,0.983,1.0,0.0741,,0.1379,0.2675,0.966,2,709,25,0
0_4,0.4789,0.0014,0.4864,0.0,0.0,,,-0.0087,0.9701,0,714,20,2
0_5,0.7258,0.0201,0.735,0.5,0.0435,,0.08,0.1406,0.9688,1,712,22,1
0_6,0.4768,0.0014,0.4871,0.0,0.0,,,-0.0085,0.9715,0,715,19,2
0_7,0.9925,0.5417,0.983,1.0,0.0385,,0.0741,0.1927,0.966,1,709,25,0
0_8,0.9952,0.5625,0.9864,1.0,0.0476,,0.0909,0.2152,0.9728,1,714,20,0
0_9,0.9775,0.0238,0.983,1.0,0.0385,,0.0741,0.1927,0.966,1,709,25,0
0_Mean,0.7575,0.2018,0.7356,0.5,0.0298,,0.0928,0.1135,0.9698,0.7,712.8,21.2,1.0
0_SD,0.2228,0.2597,0.2344,0.4714,0.0275,,0.0243,0.1101,0.0058,0.6749485577105528,4.565571644870382,4.565571644870381,0.9428090415820634
Mean,0.7575,0.2018,0.7356,0.5,0.0298,,0.0928,0.1135,0.9698,0.7,712.8,21.2,1.0
SD,0.2228,0.2597,0.2344,0.4714,0.0276,,0.0243,0.1101,0.0058,0.6749,4.5656,4.5656,0.9428
