,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8737,0.44,0.8316,0.7692,0.1053,,0.1852,0.2589,0.8919,10,716,85,3
0_1,0.822,0.4026,0.8169,0.75,0.0882,,0.1579,0.2308,0.8819,9,708,93,3
0_2,0.6891,0.2917,0.6907,0.5,0.0594,,0.1062,0.1394,0.8758,6,706,95,6
0_3,0.8654,0.452,0.8159,0.7692,0.0833,,0.1504,0.2234,0.861,10,690,110,3
0_4,0.8175,0.3739,0.7818,0.6923,0.0804,,0.144,0.2051,0.8684,9,697,103,4
0_5,0.92,0.4822,0.8972,0.9231,0.1043,,0.1875,0.2859,0.8721,12,697,103,1
0_6,0.7487,0.3284,0.7508,0.6154,0.0808,,0.1429,0.1924,0.8819,8,709,91,5
0_7,0.7092,0.3261,0.7149,0.5385,0.0745,,0.1308,0.1686,0.8856,7,713,87,6
0_8,0.8513,0.458,0.8105,0.6923,0.1364,,0.2278,0.2852,0.925,9,743,57,4
0_9,0.7969,0.4157,0.7899,0.6923,0.0909,,0.1607,0.2224,0.8844,9,710,90,4
0_Mean,0.8094,0.3971,0.79,0.6942,0.0903,,0.1593,0.2212,0.8828,8.9,708.9,91.4,3.9
0_SD,0.0744,0.0646,0.0598,0.1225,0.0211,,0.034,0.0476,0.0174,1.66332999331662,14.456448003880098,14.439144326755963,1.5238839267549948
Mean,0.8094,0.3971,0.79,0.6942,0.0903,,0.1593,0.2212,0.8828,8.9,708.9,91.4,3.9
SD,0.0744,0.0646,0.0598,0.1224,0.0211,,0.034,0.0475,0.0174,1.6633,14.4564,14.4391,1.5239
