,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7601,0.3633,0.732,0.6316,0.0828,,0.1463,0.1831,0.8278,12,661,133,7
0_1,0.7586,0.3077,0.7621,0.6842,0.0929,,0.1635,0.2098,0.8364,13,667,127,6
0_2,0.7792,0.4025,0.7709,0.6842,0.1032,,0.1793,0.2262,0.8536,13,681,113,6
0_3,0.7609,0.2944,0.747,0.6842,0.0793,,0.1421,0.186,0.8069,13,643,151,6
0_4,0.7562,0.3191,0.7363,0.6111,0.0909,,0.1583,0.1954,0.8559,11,684,110,7
0_5,0.8156,0.4134,0.7767,0.7222,0.0884,,0.1576,0.2116,0.8288,13,660,134,5
0_6,0.7558,0.2523,0.7458,0.6667,0.0795,,0.142,0.186,0.8214,12,655,139,6
0_7,0.7287,0.2738,0.6681,0.5,0.0647,,0.1146,0.1314,0.8288,9,664,130,9
0_8,0.7239,0.2818,0.7237,0.6111,0.078,,0.1384,0.1739,0.8313,11,664,130,7
0_9,0.8115,0.4046,0.7711,0.7222,0.0833,,0.1494,0.2026,0.8177,13,651,143,5
0_Mean,0.7651,0.3313,0.7434,0.6518,0.0843,,0.1492,0.1906,0.8309,12.0,663.0,131.0,6.4
0_SD,0.0302,0.0599,0.032,0.0667,0.0103,,0.0173,0.0261,0.015,1.3333333333333333,12.489995996796797,12.489995996796797,1.1737877907772671
Mean,0.765,0.3313,0.7434,0.6518,0.0843,,0.1492,0.1906,0.8309,12.0,663.0,131.0,6.4
SD,0.0301,0.0599,0.032,0.0667,0.0104,,0.0173,0.0261,0.015,1.3333,12.49,12.49,1.1738
