,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6278,0.6246,0.4444,0.0274,0.0516,0.0687,0.8003
0_1,0.6493,0.6647,0.5,0.0312,0.0588,0.0901,0.8259
0_2,0.7073,0.6592,0.5,0.0294,0.0556,0.0851,0.815
0_3,0.7006,0.6599,0.5,0.0296,0.0559,0.0857,0.8163
0_4,0.7,0.6544,0.5,0.028,0.053,0.0809,0.8054
0_5,0.7365,0.6798,0.5,0.0377,0.0702,0.1062,0.8558
0_6,0.864,0.7911,0.75,0.0469,0.0882,0.1593,0.8313
0_7,0.6988,0.6695,0.5,0.0331,0.062,0.0949,0.8354
0_8,0.7014,0.6599,0.5,0.0296,0.0559,0.0857,0.8163
0_9,0.6723,0.675,0.5,0.0354,0.0661,0.1007,0.8463
0_Mean,0.7058,0.6738,0.5194,0.0328,0.0617,0.0957,0.8248
0_SD,0.0637,0.0438,0.0829,0.0059,0.011,0.0247,0.0176
Mean,0.7058,0.6738,0.5194,0.0328,0.0617,0.0957,0.8248
SD,0.0637,0.0438,0.0829,0.0059,0.011,0.0247,0.0176
