,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6007,0.6237,0.3333,0.0156,0.0299,0.0559,0.9117
0_1,0.5643,0.4543,0.0,0.0,,-0.0202,0.9049
0_2,0.7801,0.7883,0.6667,0.0294,0.0563,0.1269,0.909
0_3,0.4202,0.4488,0.0,0.0,,-0.0215,0.894
0_4,0.7688,0.7801,0.6667,0.025,0.0482,0.1147,0.8927
0_5,0.8262,0.8306,0.75,0.0441,0.0833,0.1679,0.9103
0_6,0.8347,0.8217,0.75,0.037,0.0706,0.1512,0.8927
0_7,0.793,0.7828,0.6667,0.0263,0.0506,0.1184,0.898
0_8,0.6132,0.625,0.3333,0.0161,0.0308,0.0574,0.9143
0_9,0.6031,0.6134,0.3333,0.0127,0.0244,0.0467,0.8912
0_Mean,0.6804,0.6769,0.45,0.0206,0.0493,0.0797,0.9019
0_SD,0.1388,0.1453,0.2919,0.0146,0.0207,0.0669,0.0091
Mean,0.6804,0.6769,0.45,0.0206,0.0493,0.0797,0.9019
SD,0.1389,0.1453,0.2919,0.0146,0.0207,0.0668,0.0091
