,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.692,0.2825,0.6448,0.6522,0.0498,,0.0926,0.0995,0.6379,15,503,286,8
0_1,0.7169,0.2633,0.6909,0.7391,0.0569,,0.1056,0.1313,0.6453,17,507,282,6
0_2,0.5876,0.1403,0.5858,0.4583,0.0464,,0.0843,0.0639,0.7057,11,562,226,13
0_3,0.5903,0.1594,0.5761,0.5,0.042,,0.0774,0.054,0.6478,12,514,274,12
0_4,0.6585,0.2513,0.6191,0.5833,0.049,,0.0903,0.0844,0.6527,14,516,272,10
0_5,0.7188,0.3065,0.6568,0.6957,0.0505,,0.0941,0.1067,0.6202,16,487,301,7
0_6,0.6047,0.1667,0.606,0.5217,0.0469,,0.086,0.0758,0.6856,12,544,244,11
0_7,0.6659,0.2122,0.5921,0.5217,0.0432,,0.0797,0.0644,0.6584,12,522,266,11
0_8,0.7371,0.352,0.6414,0.6522,0.049,,0.0912,0.0969,0.6313,15,497,291,8
0_9,0.6472,0.2345,0.6478,0.6522,0.0507,,0.094,0.1019,0.6436,15,507,281,8
0_Mean,0.6619,0.2369,0.6261,0.5976,0.0484,,0.0895,0.0879,0.6529,13.9,515.9,272.3,9.4
0_SD,0.0547,0.0683,0.0364,0.0938,0.0042,,0.0081,0.0238,0.0254,2.024845673131659,22.29324760749068,22.40560445761531,2.3190036174568114
Mean,0.6619,0.2369,0.6261,0.5976,0.0484,,0.0895,0.0879,0.6528,13.9,515.9,272.3,9.4
SD,0.0548,0.0683,0.0364,0.0938,0.0042,,0.0081,0.0238,0.0254,2.0248,22.2932,22.4056,2.319
