,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7477,0.676,0.5882,0.0505,0.093,0.1174,0.7601
0_1,0.5978,0.5472,0.2941,0.0305,0.0552,0.0336,0.7897
0_2,0.6893,0.6567,0.5294,0.0497,0.0909,0.1078,0.7786
0_3,0.6943,0.6422,0.5294,0.0441,0.0814,0.0939,0.7503
0_4,0.6145,0.5939,0.4118,0.0378,0.0693,0.0641,0.7685
0_5,0.6833,0.6471,0.5294,0.0459,0.0845,0.0984,0.7599
0_6,0.6689,0.649,0.5294,0.0466,0.0857,0.1002,0.7635
0_7,0.5972,0.5589,0.3529,0.0311,0.0571,0.0396,0.7562
0_8,0.7313,0.6727,0.5882,0.0493,0.0909,0.1142,0.7537
0_9,0.5545,0.5425,0.3529,0.0274,0.0508,0.0274,0.7241
0_Mean,0.6579,0.6186,0.4706,0.0413,0.0759,0.0797,0.7605
0_SD,0.0636,0.0527,0.1074,0.0088,0.0163,0.0351,0.0175
Mean,0.6579,0.6186,0.4706,0.0413,0.0759,0.0797,0.7605
SD,0.0636,0.0527,0.1074,0.0088,0.0163,0.0351,0.0175
