,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.779,0.5972,0.7443,0.7917,0.6552,,0.717,0.4826,0.7368,19,23,10,5
0_1,0.6932,0.7064,0.6477,0.4167,0.7143,,0.5263,0.3389,0.6842,10,29,4,14
0_2,0.7413,0.6643,0.7238,0.76,0.6552,,0.7037,0.4442,0.7193,19,22,10,6
0_3,0.7975,0.7719,0.7106,0.64,0.6957,,0.6667,0.4261,0.7193,16,25,7,9
0_4,0.645,0.574,0.6481,0.64,0.5926,,0.6154,0.2944,0.6491,16,21,11,9
0_5,0.7737,0.7036,0.6219,0.4,0.6667,,0.5,0.2747,0.6491,10,27,5,15
0_6,0.7212,0.6539,0.6838,0.68,0.6296,,0.6538,0.3652,0.6842,17,22,10,8
0_7,0.705,0.7338,0.6081,0.56,0.56,,0.56,0.2162,0.614,14,21,11,11
0_8,0.7962,0.7917,0.7306,0.68,0.7083,,0.6939,0.4636,0.7368,17,25,7,8
0_9,0.8451,0.8024,0.724,0.6667,0.6957,,0.6809,0.4506,0.7321,16,25,7,8
0_Mean,0.7497,0.6999,0.6843,0.6235,0.6573,,0.6318,0.3756,0.6925,15.4,24.0,8.2,9.3
0_SD,0.0596,0.0782,0.0493,0.1302,0.0509,,0.0777,0.0917,0.0435,3.2041639575194445,2.6666666666666665,2.5298221281347035,3.1989581637360205
Mean,0.7497,0.6999,0.6843,0.6235,0.6573,,0.6318,0.3756,0.6925,15.4,24.0,8.2,9.3
SD,0.0596,0.0782,0.0494,0.1302,0.0509,,0.0777,0.0917,0.0435,3.2042,2.6667,2.5298,3.199
