,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.9026,0.498,0.0,0.0,,-0.0033,0.9932
0_1,0.7807,0.4966,0.0,0.0,,-0.0043,0.9905
0_2,0.9087,0.4973,0.0,0.0,,-0.0039,0.9918
0_3,0.9796,0.7486,0.5,0.3333,0.4,0.4063,0.9959
0_4,0.8202,0.4973,0.0,0.0,,-0.0039,0.9918
0_5,0.8651,0.4952,0.0,0.0,,-0.0051,0.9878
0_6,0.3958,0.4952,0.0,0.0,,-0.0051,0.9878
0_7,0.9986,0.9966,1.0,0.1667,0.2857,0.4069,0.9932
0_8,0.9973,0.9986,1.0,0.3333,0.5,0.5766,0.9973
0_9,0.8025,0.4952,0.0,0.0,,-0.0036,0.9891
0_Mean,0.8451,0.6219,0.25,0.0833,0.3952,0.136,0.9918
0_SD,0.1767,0.2131,0.4249,0.1416,0.1072,0.2305,0.0032
Mean,0.8451,0.6219,0.25,0.0833,0.3952,0.1361,0.9918
SD,0.1767,0.2131,0.4249,0.1416,0.1072,0.2305,0.0032
