,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.509,0.0219,0.5527,0.1538,0.0541,,0.08,0.0636,0.9375,2,688,35,11
0_1,0.7134,0.0763,0.5534,0.1538,0.0556,,0.0816,0.0652,0.9389,2,689,34,11
0_2,0.6798,0.043,0.5534,0.1538,0.0556,,0.0816,0.0652,0.9389,2,689,34,11
0_3,0.5104,0.1897,0.5946,0.2308,0.0909,,0.1304,0.1205,0.9457,3,693,30,10
0_4,0.7,0.1499,0.5939,0.2308,0.0882,,0.1277,0.1179,0.9443,3,692,31,10
0_5,0.8133,0.162,0.6862,0.4167,0.1351,,0.2041,0.2158,0.9469,5,691,32,7
0_6,0.7215,0.1059,0.6751,0.4167,0.0943,,0.1538,0.1716,0.9252,5,675,48,7
0_7,0.757,0.2389,0.7491,0.5385,0.1944,,0.2857,0.3043,0.9524,7,693,29,6
0_8,0.8341,0.1593,0.6282,0.3077,0.0976,,0.1481,0.1473,0.9374,4,685,37,9
0_9,0.624,0.0874,0.596,0.2308,0.0968,,0.1364,0.1259,0.9483,3,694,28,10
0_Mean,0.6862,0.1234,0.6183,0.2833,0.0963,,0.143,0.1397,0.9415,3.6,688.9,33.8,9.2
0_SD,0.1113,0.0681,0.0662,0.1333,0.0426,,0.0634,0.0759,0.0077,1.6465452046971292,5.606543795720616,5.7310072800899885,1.873795909674026
Mean,0.6862,0.1234,0.6183,0.2833,0.0963,,0.1429,0.1397,0.9416,3.6,688.9,33.8,9.2
SD,0.1113,0.0682,0.0662,0.1333,0.0426,,0.0634,0.0759,0.0077,1.6465,5.6065,5.731,1.8738
