,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8463,0.0136,0.4932,0.0,0.0,,,-0.0075,0.9823,0,723,10,3
0_1,0.8772,0.0152,0.4966,0.0,0.0,,,-0.0053,0.9891,0,728,5,3
0_2,0.9181,0.028,0.4966,0.0,0.0,,,-0.0053,0.9891,0,728,5,3
0_3,0.5011,0.0039,0.4925,0.0,0.0,,,-0.0079,0.981,0,722,11,3
0_4,0.6962,0.0456,0.6626,0.3333,0.1429,,0.2,0.2134,0.9891,1,727,6,2
0_5,0.6465,0.2754,0.6202,0.25,0.125,,0.1667,0.1705,0.9864,1,725,7,3
0_6,0.9549,0.1051,0.7391,0.5,0.1111,,0.1818,0.2276,0.9755,2,716,16,2
0_7,0.8597,0.4749,0.8313,0.6667,0.4,,0.5,0.5139,0.9946,2,729,3,1
0_8,0.7477,0.3383,0.6653,0.3333,0.3333,,0.3333,0.3306,0.9946,1,730,2,2
0_9,0.4604,0.0578,0.6605,0.3333,0.1,,0.1538,0.1767,0.985,1,723,9,2
0_Mean,0.7508,0.1358,0.6158,0.2417,0.1212,,0.2559,0.1607,0.9867,0.8,725.1,7.4,2.4
0_SD,0.1723,0.1664,0.1188,0.2372,0.1424,,0.1361,0.1742,0.006,0.7888106377466155,4.2282121254470875,4.1952353926806065,0.6992058987801011
Mean,0.7508,0.1358,0.6158,0.2417,0.1212,,0.2559,0.1607,0.9867,0.8,725.1,7.4,2.4
SD,0.1723,0.1664,0.1188,0.2372,0.1424,,0.1361,0.1742,0.006,0.7888,4.2282,4.1952,0.6992
