,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7134,0.5544,0.6553,0.5833,0.6087,,0.5957,0.3126,0.6667,14,24,9,10
0_1,0.673,0.7067,0.6686,0.4583,0.7333,,0.5641,0.378,0.7018,11,29,4,13
0_2,0.7325,0.6952,0.6725,0.72,0.6,,0.6545,0.3429,0.6667,18,20,12,7
0_3,0.8212,0.7657,0.7019,0.56,0.7368,,0.6364,0.425,0.7193,14,27,5,11
0_4,0.6213,0.5518,0.6238,0.56,0.5833,,0.5714,0.2487,0.6316,14,22,10,11
0_5,0.7388,0.693,0.6062,0.4,0.625,,0.4878,0.2347,0.6316,10,26,6,15
0_6,0.6962,0.6174,0.6238,0.56,0.5833,,0.5714,0.2487,0.6316,14,22,10,11
0_7,0.7,0.6931,0.6125,0.6,0.5556,,0.5769,0.2236,0.614,15,20,12,10
0_8,0.8075,0.8043,0.7619,0.68,0.7727,,0.7234,0.5339,0.7719,17,27,5,8
0_9,0.8659,0.8488,0.776,0.7083,0.7727,,0.7391,0.5594,0.7857,17,27,5,7
0_Mean,0.737,0.693,0.6702,0.583,0.6572,,0.6121,0.3507,0.6821,14.4,24.4,7.8,10.3
0_SD,0.0744,0.0983,0.0602,0.1026,0.0861,,0.0771,0.1226,0.0609,2.5473297566057065,3.238655413730965,3.1198290551460244,2.5407785333546005
Mean,0.737,0.693,0.6702,0.583,0.6571,,0.6121,0.3508,0.6821,14.4,24.4,7.8,10.3
SD,0.0744,0.0983,0.0602,0.1026,0.0861,,0.0771,0.1226,0.0609,2.5473,3.2387,3.1198,2.5408
