,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7923,0.7384,0.52,0.2766,0.3611,0.3527,0.9434
0_1,0.8282,0.7778,0.6,0.3,0.4,0.3992,0.9446
0_2,0.758,0.7422,0.52,0.3171,0.3939,0.3822,0.9508
0_3,0.8179,0.6841,0.4,0.2857,0.3333,0.3132,0.9508
0_4,0.7874,0.7235,0.48,0.3158,0.381,0.3656,0.952
0_5,0.7493,0.765,0.5769,0.2885,0.3846,0.381,0.941
0_6,0.8274,0.8022,0.64,0.3636,0.4638,0.4612,0.9544
0_7,0.8027,0.8159,0.68,0.3091,0.425,0.4343,0.9433
0_8,0.8516,0.8022,0.64,0.3636,0.4638,0.4612,0.9544
0_9,0.7468,0.7235,0.48,0.3158,0.381,0.3656,0.952
0_Mean,0.7962,0.7575,0.5537,0.3136,0.3987,0.3916,0.9487
0_SD,0.0362,0.0424,0.0884,0.0298,0.0418,0.048,0.005
Mean,0.7962,0.7575,0.5537,0.3136,0.3988,0.3916,0.9487
SD,0.0362,0.0424,0.0884,0.0298,0.0418,0.0481,0.005
