,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6822,0.1108,0.6351,0.2941,0.2083,,0.2439,0.2285,0.9619,5,777,19,12
0_1,0.6844,0.2911,0.6877,0.4118,0.1944,,0.2642,0.2611,0.952,7,767,29,10
0_2,0.7297,0.2152,0.6914,0.4118,0.2333,,0.2979,0.2906,0.9594,7,773,23,10
0_3,0.7763,0.3327,0.7183,0.4706,0.2286,,0.3077,0.3078,0.9557,8,769,27,9
0_4,0.7654,0.4878,0.7534,0.5294,0.3333,,0.4091,0.4047,0.968,9,778,18,8
0_5,0.7227,0.2449,0.7772,0.5882,0.2703,,0.3704,0.3805,0.9582,10,769,27,7
0_6,0.8892,0.4795,0.7772,0.5882,0.2703,,0.3704,0.3805,0.9582,10,769,27,7
0_7,0.7239,0.3551,0.7177,0.4706,0.2222,,0.3019,0.3028,0.9545,8,768,28,9
0_8,0.7484,0.3321,0.6986,0.4375,0.1795,,0.2545,0.2582,0.9495,7,764,32,9
0_9,0.6514,0.2227,0.6626,0.3529,0.2143,,0.2667,0.2552,0.9594,6,773,22,11
0_Mean,0.7374,0.3072,0.7119,0.4555,0.2355,,0.3087,0.307,0.9577,7.7,770.7,25.2,9.2
0_SD,0.066,0.1175,0.0469,0.0954,0.045,,0.0565,0.0615,0.0052,1.636391694484477,4.4484703987875305,4.5166359162544865,1.6193277068654826
Mean,0.7374,0.3072,0.7119,0.4555,0.2354,,0.3087,0.307,0.9577,7.7,770.7,25.2,9.2
SD,0.066,0.1175,0.0469,0.0954,0.045,,0.0565,0.0614,0.0052,1.6364,4.4485,4.5166,1.6193
