,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8572,0.6878,0.8412,0.6923,0.5294,,0.6,0.5982,0.9853,9,793,8,4
0_1,0.7651,0.6262,0.8252,0.6667,0.381,,0.4848,0.4945,0.9791,8,788,13,4
0_2,0.6838,0.4297,0.7431,0.5,0.3529,,0.4138,0.4098,0.9791,6,790,11,6
0_3,0.8301,0.686,0.8374,0.6923,0.3913,,0.5,0.5105,0.9779,9,786,14,4
0_4,0.7694,0.6043,0.8039,0.6154,0.5714,,0.5926,0.5861,0.9865,8,794,6,5
0_5,0.901,0.7509,0.8815,0.7692,0.6667,,0.7143,0.7112,0.9902,10,795,5,3
0_6,0.6605,0.5227,0.7642,0.5385,0.4667,,0.5,0.4926,0.9828,7,792,8,6
0_7,0.6577,0.4902,0.7276,0.4615,0.5455,,0.5,0.4943,0.9852,6,795,5,7
0_8,0.8797,0.6847,0.8412,0.6923,0.5294,,0.6,0.5982,0.9852,9,792,8,4
0_9,0.8334,0.6721,0.8399,0.6923,0.4737,,0.5625,0.5644,0.9828,9,790,10,4
0_Mean,0.7838,0.6155,0.8105,0.6321,0.4908,,0.5468,0.546,0.9834,8.1,791.5,8.8,4.7
0_SD,0.091,0.1031,0.0498,0.1,0.0973,,0.0844,0.0834,0.0039,1.3703203194062978,2.9907264074877267,3.155242550986462,1.2516655570345725
Mean,0.7838,0.6155,0.8105,0.6321,0.4908,,0.5468,0.546,0.9834,8.1,791.5,8.8,4.7
SD,0.091,0.1031,0.0498,0.1,0.0973,,0.0844,0.0834,0.0039,1.3703,2.9907,3.1552,1.2517
