,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.3595,0.0115,0.5522,0.125,0.0625,,0.0833,0.0742,0.9701,1,712,15,7
0_1,0.6972,0.0336,0.5542,0.125,0.0769,,0.0952,0.0854,0.9741,1,715,12,7
0_2,0.3786,0.0083,0.4856,0.0,0.0,,,-0.018,0.9605,0,706,21,8
0_3,0.7772,0.378,0.7716,0.5556,0.3571,,0.4348,0.437,0.9823,5,717,9,4
0_4,0.6638,0.3344,0.7167,0.4444,0.3333,,0.381,0.3761,0.9823,4,718,8,5
0_5,0.618,0.1822,0.6556,0.3333,0.1579,,0.2143,0.2157,0.9701,3,710,16,6
0_6,0.5429,0.1394,0.5535,0.125,0.0714,,0.0909,0.0813,0.9728,1,713,13,7
0_7,0.6294,0.0188,0.4924,0.0,0.0,,,-0.0129,0.9741,0,715,11,8
0_8,0.881,0.2547,0.8042,0.625,0.2941,,0.4,0.42,0.9796,5,714,12,3
0_9,0.8509,0.0922,0.6202,0.25,0.2222,,0.2353,0.2268,0.9823,2,719,7,6
0_Mean,0.6398,0.1453,0.6206,0.2583,0.1576,,0.2418,0.1886,0.9748,2.2,713.9,12.4,6.1
0_SD,0.1771,0.1379,0.1132,0.2236,0.1359,,0.1473,0.1736,0.007,1.9321835661585915,3.9001424475410014,4.168666186896929,1.66332999331662
Mean,0.6398,0.1453,0.6206,0.2583,0.1575,,0.2418,0.1886,0.9748,2.2,713.9,12.4,6.1
SD,0.1771,0.1379,0.1131,0.2236,0.1359,,0.1473,0.1736,0.007,1.9322,3.9001,4.1687,1.6633
