,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8344,0.8543,0.7273,0.3478,0.4706,0.4937,0.9779
0_1,0.6737,0.6956,0.4,0.3636,0.381,0.3733,0.984
0_2,0.7823,0.6919,0.4,0.2353,0.2963,0.2957,0.9766
0_3,0.8407,0.6913,0.4,0.2222,0.2857,0.2866,0.9754
0_4,0.6692,0.6438,0.3,0.2308,0.2609,0.2527,0.9791
0_5,0.7412,0.6919,0.4,0.2353,0.2963,0.2957,0.9766
0_6,0.8331,0.5847,0.1818,0.1667,0.1739,0.1622,0.9766
0_7,0.7266,0.6756,0.3636,0.2857,0.32,0.3119,0.9791
0_8,0.7325,0.6768,0.3636,0.3333,0.3478,0.3388,0.9815
0_9,0.6262,0.5398,0.0909,0.1,0.0952,0.0835,0.9766
0_Mean,0.746,0.6746,0.3627,0.2521,0.2928,0.2894,0.9784
0_SD,0.0758,0.0822,0.1663,0.0828,0.104,0.1114,0.0027
Mean,0.746,0.6746,0.3627,0.2521,0.2928,0.2894,0.9783
SD,0.0758,0.0822,0.1663,0.0828,0.104,0.1114,0.0027
