,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5339,0.2673,0.5356,0.45,0.0581,,0.1029,0.0318,0.6128,18,479,292,22
0_1,0.5161,0.265,0.5168,0.45,0.0531,,0.095,0.0148,0.5771,18,450,321,22
0_2,0.5325,0.2788,0.5332,0.475,0.0569,,0.1016,0.0292,0.5857,19,456,315,21
0_3,0.477,0.2009,0.4783,0.325,0.0438,,0.0772,-0.0195,0.6165,13,487,284,27
0_4,0.5755,0.3192,0.5681,0.55,0.0645,,0.1155,0.0598,0.5845,22,452,319,18
0_5,0.6564,0.3942,0.6564,0.6829,0.0895,,0.1582,0.1408,0.6326,28,485,285,13
0_6,0.5564,0.3004,0.5574,0.5122,0.0642,,0.1141,0.0513,0.598,21,464,306,20
0_7,0.5791,0.3151,0.5806,0.5366,0.0707,,0.125,0.0727,0.6202,22,481,289,19
0_8,0.4672,0.1999,0.469,0.325,0.0418,,0.0741,-0.0276,0.5988,13,472,298,27
0_9,0.547,0.304,0.5476,0.525,0.0597,,0.1071,0.0416,0.5679,21,439,331,19
0_Mean,0.5441,0.2845,0.5443,0.4832,0.0602,,0.1071,0.0395,0.5994,19.5,466.5,304.0,20.8
0_SD,0.0542,0.0574,0.0533,0.1065,0.0136,,0.0241,0.0479,0.0208,4.453463071962462,16.71493011917456,16.779617264870957,4.157990967870047
Mean,0.5441,0.2845,0.5443,0.4832,0.0602,,0.1071,0.0395,0.5994,19.5,466.5,304.0,20.8
SD,0.0542,0.0574,0.0533,0.1065,0.0136,,0.0241,0.0479,0.0208,4.4535,16.7149,16.7796,4.158
