,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5301,0.5301,0.2381,0.0379,0.0654,0.0261,0.8054
0_1,0.5469,0.5469,0.2381,0.0463,0.0775,0.0442,0.8381
0_2,0.5301,0.5301,0.2381,0.0379,0.0654,0.0261,0.8054
0_3,0.549,0.549,0.2857,0.0429,0.0745,0.0416,0.7973
0_4,0.5476,0.5476,0.2857,0.0423,0.0736,0.0402,0.7946
0_5,0.5421,0.5421,0.2273,0.0467,0.0775,0.0407,0.8381
0_6,0.4854,0.4854,0.1364,0.0248,0.042,-0.0134,0.8136
0_7,0.5201,0.5201,0.1818,0.0381,0.063,0.0196,0.8381
0_8,0.4957,0.4957,0.1429,0.027,0.0455,-0.004,0.8283
0_9,0.4621,0.4621,0.0952,0.0161,0.0276,-0.0338,0.8079
0_Mean,0.5209,0.5209,0.2069,0.036,0.0612,0.0187,0.8167
0_SD,0.0301,0.0301,0.0649,0.0101,0.0172,0.0269,0.0174
Mean,0.5209,0.5209,0.2069,0.036,0.0612,0.0187,0.8167
SD,0.0301,0.0301,0.0649,0.0101,0.0171,0.0269,0.0174
