,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.4994,0.4994,0.0,0.0,,-0.0021,0.9951
0_1,0.8327,0.8327,0.6667,0.6667,0.6667,0.6654,0.9975
0_2,0.4994,0.4994,0.0,0.0,,-0.0021,0.9951
0_3,0.4988,0.4988,0.0,0.0,,-0.0025,0.9951
0_4,0.7451,0.7451,0.5,0.1111,0.1818,0.2321,0.9889
0_5,0.5,0.5,0.0,,,0.0,0.9963
0_6,0.6648,0.6648,0.3333,0.25,0.2857,0.2856,0.9938
0_7,0.666,0.666,0.3333,0.5,0.4,0.4065,0.9963
0_8,0.6667,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_9,0.6667,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_Mean,0.624,0.624,0.25,0.392,0.4224,0.2736,0.9953
0_SD,0.119,0.119,0.239,0.4163,0.1725,0.2708,0.0026
Mean,0.624,0.624,0.25,0.392,0.4224,0.2736,0.9953
SD,0.119,0.119,0.239,0.4163,0.1725,0.2708,0.0026
