,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5842,0.1782,0.5842,0.2941,0.0476,,0.082,0.0719,0.8622,5,696,100,12
0_1,0.4754,0.045,0.4754,0.0588,0.0115,,0.0192,-0.0228,0.8745,1,710,86,16
0_2,0.4723,0.0447,0.4723,0.0588,0.0109,,0.0183,-0.0251,0.8684,1,705,91,16
0_3,0.4998,0.0785,0.4998,0.1176,0.0208,,0.0354,-0.0002,0.8659,2,702,94,15
0_4,0.5009,0.0811,0.5009,0.125,0.02,,0.0345,0.0008,0.8621,2,698,98,14
0_5,0.5196,0.1142,0.5196,0.1875,0.0248,,0.0438,0.0153,0.8387,3,678,118,13
0_6,0.6022,0.1905,0.6022,0.3125,0.0549,,0.0935,0.0901,0.8805,5,710,86,11
0_7,0.4997,0.0809,0.4997,0.125,0.0196,,0.0339,-0.0003,0.8596,2,696,100,14
0_8,0.5947,0.1873,0.5947,0.3125,0.0485,,0.084,0.0791,0.8658,5,698,98,11
0_9,0.4947,0.0777,0.4947,0.1176,0.0192,,0.0331,-0.0046,0.8559,2,693,102,15
0_Mean,0.5244,0.1078,0.5244,0.171,0.0278,,0.0478,0.0204,0.8634,2.8,698.6,97.3,13.7
0_SD,0.0499,0.057,0.0499,0.1003,0.0162,,0.0279,0.0432,0.0113,1.6193277068654823,9.323804659758446,9.262229153335005,1.888562063228706
Mean,0.5243,0.1078,0.5243,0.1709,0.0278,,0.0478,0.0204,0.8634,2.8,698.6,97.3,13.7
SD,0.0498,0.057,0.0498,0.1003,0.0162,,0.0279,0.0432,0.0112,1.6193,9.3238,9.2622,1.8886
