,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5875,0.6773,0.625,1.0,0.625,,0.7692,0.3953,0.6667,10,2,6,0
0_1,0.3,0.4218,0.475,0.7,0.5385,,0.6087,-0.0555,0.5,7,2,6,3
0_2,0.7062,0.8053,0.4625,0.8,0.5333,,0.64,-0.1,0.5,8,1,7,2
0_3,0.8701,0.9289,0.6688,0.9091,0.7143,,0.8,0.3959,0.7222,10,3,4,1
0_4,0.8701,0.8349,0.9286,1.0,0.9167,,0.9565,0.8864,0.9444,11,6,1,0
0_5,0.8143,0.8872,0.5429,0.8,0.6154,,0.6957,0.0994,0.5882,8,2,5,2
0_6,0.5,0.6328,0.45,0.9,0.5625,,0.6923,-0.2092,0.5294,9,0,7,1
0_7,0.5857,0.7535,0.4714,0.8,0.5714,,0.6667,-0.0738,0.5294,8,1,6,2
0_8,0.5714,0.6257,0.6143,0.8,0.6667,,0.7273,0.2469,0.6471,8,3,4,2
0_9,0.5786,0.6384,0.6643,0.9,0.6923,,0.7826,0.3812,0.7059,9,3,4,1
0_Mean,0.6384,0.7206,0.5903,0.8609,0.6436,,0.7339,0.1967,0.6333,8.8,2.3,5.0,1.4
0_SD,0.1795,0.1517,0.1466,0.0971,0.1148,,0.0999,0.3317,0.1376,1.2292725943057181,1.636391694484477,1.8257418583505538,0.9660917830792959
Mean,0.6384,0.7206,0.5903,0.8609,0.6436,,0.7339,0.1967,0.6333,8.8,2.3,5.0,1.4
SD,0.1795,0.1517,0.1467,0.0971,0.1148,,0.0999,0.3317,0.1376,1.2293,1.6364,1.8257,0.9661
