,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7326,0.7479,0.52,0.4062,0.4561,0.4403,0.9619
0_1,0.8701,0.8143,0.64,0.64,0.64,0.6286,0.9779
0_2,0.8048,0.7718,0.56,0.5185,0.5385,0.5237,0.9705
0_3,0.8507,0.7362,0.48,0.6667,0.5581,0.5543,0.9766
0_4,0.824,0.7337,0.48,0.5455,0.5106,0.4972,0.9717
0_5,0.7453,0.7635,0.5385,0.6087,0.5714,0.5593,0.9742
0_6,0.8628,0.7949,0.6,0.6522,0.625,0.6142,0.9778
0_7,0.8585,0.8324,0.68,0.5862,0.6296,0.6188,0.9754
0_8,0.9073,0.8162,0.64,0.7273,0.6809,0.6728,0.9815
0_9,0.7807,0.7349,0.48,0.6,0.5333,0.5236,0.9741
0_Mean,0.8237,0.7746,0.5618,0.5951,0.5744,0.5633,0.9742
0_SD,0.057,0.0375,0.0746,0.0895,0.0688,0.0705,0.0054
Mean,0.8237,0.7746,0.5618,0.5951,0.5744,0.5633,0.9742
SD,0.057,0.0375,0.0746,0.0896,0.0688,0.0704,0.0054
