,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7658,0.3142,0.6512,0.3125,0.3846,,0.3448,0.3349,0.9766,5,788,8,11
0_1,0.676,0.0792,0.5269,0.0588,0.2,,0.0909,0.0984,0.9754,1,791,4,16
0_2,0.7781,0.2823,0.7002,0.4118,0.4375,,0.4242,0.4125,0.9766,7,786,9,10
0_3,0.7083,0.154,0.6408,0.2941,0.3333,,0.3125,0.2993,0.9729,5,785,10,12
0_4,0.8299,0.4384,0.7328,0.4706,0.6667,,0.5517,0.5524,0.984,8,791,4,9
0_5,0.8582,0.3373,0.6714,0.3529,0.4286,,0.3871,0.3771,0.9766,6,787,8,11
0_6,0.742,0.1614,0.5919,0.1875,0.5,,0.2727,0.2982,0.9803,3,792,3,13
0_7,0.6982,0.1565,0.6225,0.25,0.5,,0.3333,0.3447,0.9803,4,791,4,12
0_8,0.8182,0.294,0.6544,0.3125,0.625,,0.4167,0.4344,0.9827,5,792,3,11
0_9,0.8658,0.4034,0.715,0.4375,0.5385,,0.4828,0.4761,0.9815,7,789,6,9
0_Mean,0.774,0.2621,0.6507,0.3088,0.4614,,0.3617,0.3628,0.9787,5.1,789.2,5.9,11.4
0_SD,0.0678,0.1189,0.061,0.123,0.1375,,0.1261,0.1228,0.0036,2.0789954839350235,2.573367875415838,2.6436506745197805,2.0655911179772892
Mean,0.774,0.2621,0.6507,0.3088,0.4614,,0.3617,0.3628,0.9787,5.1,789.2,5.9,11.4
SD,0.0678,0.1189,0.061,0.123,0.1375,,0.1261,0.1228,0.0036,2.079,2.5734,2.6437,2.0656
