,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7765,0.2436,0.6414,0.2941,0.3571,,0.3226,0.3111,0.9742,5,787,9,12
0_1,0.7625,0.2922,0.6714,0.3529,0.4286,,0.3871,0.3771,0.9766,6,788,8,11
0_2,0.8137,0.3842,0.674,0.3529,0.6,,0.4444,0.4516,0.9815,6,792,4,11
0_3,0.8665,0.5141,0.7322,0.4706,0.6154,,0.5333,0.5296,0.9828,8,791,5,9
0_4,0.7647,0.5352,0.7609,0.5294,0.6,,0.5625,0.5549,0.9828,9,790,6,8
0_5,0.8347,0.4429,0.7572,0.5294,0.4286,,0.4737,0.4639,0.9754,9,784,12,8
0_6,0.8305,0.5831,0.7891,0.5882,0.5556,,0.5714,0.5622,0.9815,10,788,8,7
0_7,0.834,0.4774,0.7609,0.5294,0.6,,0.5625,0.5549,0.9828,9,790,6,8
0_8,0.7254,0.3017,0.6487,0.3125,0.2941,,0.303,0.2887,0.9717,5,784,12,11
0_9,0.7512,0.2611,0.6708,0.3529,0.4,,0.375,0.3632,0.9754,6,786,9,11
0_Mean,0.796,0.4035,0.7107,0.4312,0.4879,,0.4536,0.4457,0.9785,7.3,788.0,7.9,9.6
0_SD,0.0458,0.1237,0.0547,0.1087,0.1192,,0.1027,0.1049,0.0042,1.888562063228706,2.788866755113585,2.7264140062238043,1.776388345929897
Mean,0.796,0.4035,0.7107,0.4312,0.4879,,0.4536,0.4457,0.9785,7.3,788.0,7.9,9.6
SD,0.0458,0.1237,0.0547,0.1087,0.1192,,0.1027,0.1049,0.0042,1.8886,2.7889,2.7264,1.7764
