,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6634,0.4945,0.0,0.0,,-0.011,0.9782
0_1,0.8357,0.5597,0.125,0.2,0.1538,0.1508,0.985
0_2,0.634,0.4979,0.0,0.0,,-0.0067,0.985
0_3,0.7495,0.6097,0.2222,0.5,0.3077,0.3281,0.9878
0_4,0.8351,0.6111,0.2222,1.0,0.3636,0.4691,0.9905
0_5,0.7486,0.55,0.1111,0.1111,0.1111,0.1001,0.9782
0_6,0.6917,0.5597,0.125,0.2,0.1538,0.1508,0.985
0_7,0.7038,0.4979,0.0,0.0,,-0.0067,0.985
0_8,0.9369,0.4993,0.0,0.0,,-0.0039,0.9877
0_9,0.6624,0.5611,0.125,0.3333,0.1818,0.1989,0.9877
0_Mean,0.7461,0.5441,0.0931,0.2344,0.212,0.137,0.985
0_SD,0.0963,0.0451,0.0891,0.3169,0.1,0.1618,0.004
Mean,0.7461,0.5441,0.0931,0.2344,0.212,0.137,0.985
SD,0.0963,0.0451,0.0891,0.3169,0.1,0.1617,0.004
