,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.9339,0.4993,0.0,0.0,,-0.0019,0.9959
0_1,0.7115,0.5,0.0,,,0.0,0.9973
0_2,0.7187,0.5,0.0,,,0.0,0.9973
0_3,0.7119,0.748,0.5,0.25,0.3333,0.3511,0.9946
0_4,0.4312,0.5,0.0,,,0.0,0.9973
0_5,0.4203,0.5,0.0,,,0.0,0.9986
0_6,0.8849,0.5,0.0,,,0.0,0.9986
0_7,0.4121,0.5,0.0,,,0.0,0.9986
0_8,0.7046,0.75,0.5,1.0,0.6667,0.7066,0.9986
0_9,0.4236,0.5,0.0,,,0.0,0.9973
0_Mean,0.6353,0.5497,0.1,0.4167,0.5,0.1056,0.9974
0_SD,0.1993,0.105,0.2108,0.5204,0.2357,0.2383,0.0014
Mean,0.6353,0.5497,0.1,0.4167,0.5,0.1056,0.9974
SD,0.1993,0.105,0.2108,0.5204,0.2357,0.2383,0.0013
