,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.708,0.0082,0.4966,0.0,0.0,,,-0.0053,0.9891,0,728,5,3
0_1,0.8249,0.0097,0.4986,0.0,0.0,,,-0.0033,0.9932,0,731,2,3
0_2,0.7638,0.0232,0.498,0.0,0.0,,,-0.0041,0.9918,0,730,3,3
0_3,0.8108,0.009,0.498,0.0,0.0,,,-0.0041,0.9918,0,730,3,3
0_4,0.7076,0.0607,0.4986,0.0,0.0,,,-0.0033,0.9932,0,731,2,3
0_5,0.812,0.0975,0.4993,0.0,0.0,,,-0.0027,0.9932,0,731,1,4
0_6,0.8282,0.1074,0.6223,0.25,0.2,,0.2222,0.2189,0.9905,1,728,4,3
0_7,0.9194,0.6715,0.5,0.0,,,,0.0,0.9959,0,732,0,3
0_8,0.7072,0.0607,0.5,0.0,,,,0.0,0.9959,0,732,0,3
0_9,0.6992,0.0605,0.6653,0.3333,0.3333,,0.3333,0.3306,0.9946,1,730,2,2
0_Mean,0.7781,0.1108,0.5277,0.0583,0.0667,,0.2778,0.0527,0.9929,0.2,730.3,2.2,3.0
0_SD,0.0732,0.2003,0.062,0.1245,0.1285,,0.0786,0.12,0.0022,0.42163702135578396,1.4181364924121764,1.6193277068654823,0.4714045207910317
Mean,0.7781,0.1108,0.5277,0.0583,0.0667,,0.2778,0.0527,0.9929,0.2,730.3,2.2,3.0
SD,0.0732,0.2003,0.062,0.1245,0.1285,,0.0786,0.12,0.0022,0.4216,1.4181,1.6193,0.4714
