,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7039,0.1224,0.5232,0.0526,0.1667,,0.08,0.0818,0.9716,1,787,5,18
0_1,0.7285,0.17,0.5777,0.1579,0.6,,0.25,0.3002,0.9778,3,790,2,16
0_2,0.7222,0.1243,0.6002,0.2105,0.3333,,0.2581,0.2511,0.9716,4,784,8,15
0_3,0.7169,0.2252,0.5771,0.1579,0.5,,0.24,0.272,0.9766,3,789,3,16
0_4,0.7068,0.0965,0.5501,0.1053,0.3333,,0.16,0.1769,0.9741,2,788,4,17
0_5,0.7027,0.0695,0.5482,0.1053,0.2222,,0.1429,0.1392,0.9704,2,785,7,17
0_6,0.7084,0.1206,0.5468,0.1,0.2857,,0.1481,0.1571,0.9716,2,786,5,18
0_7,0.7516,0.1322,0.5745,0.1579,0.3,,0.2069,0.2043,0.9716,3,784,7,16
0_8,0.7679,0.1498,0.5739,0.1579,0.2727,,0.2,0.1932,0.9704,3,783,8,16
0_9,0.7264,0.2534,0.6265,0.2632,0.3846,,0.3125,0.3048,0.9728,5,783,8,14
0_Mean,0.7235,0.1464,0.5698,0.1468,0.3399,,0.1998,0.2081,0.9729,2.8,785.9,5.7,16.3
0_SD,0.0215,0.0563,0.0295,0.0602,0.1284,,0.0684,0.0732,0.0025,1.1352924243950933,2.5144029554194813,2.2135943621178655,1.2516655570345725
Mean,0.7235,0.1464,0.5698,0.1468,0.3398,,0.1998,0.2081,0.9728,2.8,785.9,5.7,16.3
SD,0.0215,0.0563,0.0295,0.0602,0.1284,,0.0684,0.0732,0.0025,1.1353,2.5144,2.2136,1.2517
