,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5688,0.585,0.5,0.5,0.5556,,0.5263,0.0,0.5,5,4,4,5
0_1,0.4,0.4729,0.4375,0.5,0.5,,0.5,-0.125,0.4444,5,3,5,5
0_2,0.7375,0.8422,0.6,0.7,0.6364,,0.6667,0.2039,0.6111,7,4,4,3
0_3,0.6753,0.7384,0.6494,0.7273,0.7273,,0.7273,0.2987,0.6667,8,4,3,3
0_4,0.8052,0.8652,0.6948,0.8182,0.75,,0.7826,0.4029,0.7222,9,4,3,2
0_5,0.5429,0.5708,0.4929,0.7,0.5833,,0.6364,-0.0154,0.5294,7,2,5,3
0_6,0.7,0.7208,0.6143,0.8,0.6667,,0.7273,0.2469,0.6471,8,3,4,2
0_7,0.7286,0.8041,0.6357,0.7,0.7,,0.7,0.2714,0.6471,7,4,3,3
0_8,0.7143,0.649,0.7071,0.7,0.7778,,0.7368,0.4085,0.7059,7,5,2,3
0_9,0.6286,0.7379,0.5357,0.5,0.625,,0.5556,0.0704,0.5294,5,4,3,5
0_Mean,0.6501,0.6986,0.5867,0.6645,0.6522,,0.6559,0.1762,0.6003,6.8,3.7,3.6,3.4
0_SD,0.1184,0.1273,0.0911,0.1212,0.0893,,0.098,0.1841,0.0939,1.3984117975602022,0.8232726023485646,0.9660917830792958,1.1737877907772674
Mean,0.6501,0.6986,0.5867,0.6646,0.6522,,0.6559,0.1762,0.6003,6.8,3.7,3.6,3.4
SD,0.1184,0.1273,0.0911,0.1212,0.0893,,0.098,0.184,0.0939,1.3984,0.8233,0.9661,1.1738
