,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6435,0.1843,0.5929,0.3571,0.1799,,0.2392,0.1392,0.7837,25,551,114,45
0_1,0.6633,0.2479,0.6368,0.4286,0.2256,,0.2956,0.2087,0.8054,30,562,103,40
0_2,0.6414,0.1347,0.5985,0.3623,0.1852,,0.2451,0.1483,0.7902,25,555,110,44
0_3,0.6689,0.2081,0.609,0.3623,0.2066,,0.2632,0.1714,0.8093,25,569,96,44
0_4,0.6463,0.1776,0.5596,0.3,0.1489,,0.1991,0.0889,0.7698,21,544,120,49
0_5,0.7332,0.2388,0.6694,0.4714,0.2727,,0.3455,0.2683,0.8297,33,576,88,37
0_6,0.643,0.1575,0.5769,0.3286,0.1655,,0.2201,0.1154,0.7779,23,548,116,47
0_7,0.6689,0.1783,0.5627,0.2714,0.1638,,0.2043,0.1009,0.7984,19,567,97,51
0_8,0.6488,0.1497,0.5709,0.3,0.1667,,0.2143,0.1105,0.7902,21,559,105,49
0_9,0.7386,0.2422,0.671,0.4714,0.2773,,0.3492,0.2725,0.8324,33,578,86,37
0_Mean,0.6696,0.1919,0.6048,0.3653,0.1992,,0.2576,0.1624,0.7987,25.5,560.9,103.5,44.3
0_SD,0.0365,0.0406,0.0415,0.0709,0.0457,,0.0554,0.067,0.0208,4.972144630058766,11.608904628201003,11.683321445547923,4.967673276069772
Mean,0.6696,0.1919,0.6048,0.3653,0.1992,,0.2576,0.1624,0.7987,25.5,560.9,103.5,44.3
SD,0.0365,0.0406,0.0415,0.0709,0.0457,,0.0554,0.067,0.0208,4.9721,11.6089,11.6833,4.9677
