,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7536,0.5313,0.7518,0.52,0.5,,0.5098,0.494,0.9692,13,775,13,12
0_1,0.8151,0.6109,0.8149,0.64,0.6667,,0.6531,0.6424,0.9791,16,780,8,9
0_2,0.8408,0.5639,0.7737,0.56,0.5833,,0.5714,0.5582,0.9742,14,778,10,11
0_3,0.8462,0.508,0.713,0.44,0.5,,0.4681,0.4533,0.9692,11,777,11,14
0_4,0.816,0.5435,0.753,0.52,0.5417,,0.5306,0.5161,0.9717,13,777,11,12
0_5,0.7802,0.4715,0.8105,0.64,0.5161,,0.5714,0.5598,0.9705,16,773,15,9
0_6,0.7976,0.5152,0.7473,0.52,0.3939,,0.4483,0.4327,0.9606,13,768,20,12
0_7,0.8268,0.6306,0.7698,0.56,0.4667,,0.5091,0.4942,0.9668,14,772,16,11
0_8,0.8412,0.6655,0.8168,0.6538,0.5152,,0.5763,0.5648,0.9692,17,771,16,9
0_9,0.7438,0.473,0.7511,0.52,0.4815,,0.5,0.4839,0.968,13,773,14,12
0_Mean,0.8061,0.5514,0.7702,0.5574,0.5165,,0.5338,0.52,0.9699,14.0,774.4,13.4,11.1
0_SD,0.0366,0.066,0.0343,0.0686,0.0722,,0.0604,0.0622,0.0048,1.8257418583505538,3.6575644598253874,3.5339622081862854,1.66332999331662
Mean,0.8061,0.5513,0.7702,0.5574,0.5165,,0.5338,0.5199,0.9699,14.0,774.4,13.4,11.1
SD,0.0366,0.066,0.0343,0.0686,0.0722,,0.0604,0.0621,0.0048,1.8257,3.6576,3.534,1.6633
