,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.9382,0.0445,0.4986,0.0,0.0,,,-0.0033,0.9932,0,731,2,3
0_1,0.9955,0.551,0.8306,0.6667,0.3333,,0.4444,0.4685,0.9932,2,729,4,1
0_2,0.7676,0.0884,0.6612,0.3333,0.1111,,0.1667,0.1869,0.9864,1,725,8,2
0_3,0.8513,0.0389,0.498,0.0,0.0,,,-0.0041,0.9918,0,730,3,3
0_4,0.7908,0.0211,0.4973,0.0,0.0,,,-0.0047,0.9905,0,729,4,3
0_5,0.8108,0.075,0.6202,0.25,0.125,,0.1667,0.1705,0.9864,1,725,7,3
0_6,0.9526,0.3849,0.6646,0.3333,0.25,,0.2857,0.2853,0.9932,1,729,3,2
0_7,0.7143,0.2833,0.6619,0.3333,0.125,,0.1818,0.1989,0.9878,1,725,7,2
0_8,0.8005,0.0924,0.6639,0.3333,0.2,,0.25,0.2543,0.9918,1,728,4,2
0_9,0.9012,0.4761,0.8306,0.6667,0.3333,,0.4444,0.4685,0.9932,2,728,4,1
0_Mean,0.8523,0.2056,0.6427,0.2917,0.1478,,0.2771,0.2021,0.9908,0.9,727.9,4.6,2.2
0_SD,0.0911,0.2006,0.1228,0.2461,0.1291,,0.1227,0.1765,0.0028,0.7378647873726218,2.1832697191750423,2.0110804171997807,0.7888106377466155
Mean,0.8523,0.2056,0.6427,0.2917,0.1478,,0.2771,0.2021,0.9907,0.9,727.9,4.6,2.2
SD,0.0911,0.2006,0.1227,0.2461,0.1291,,0.1226,0.1765,0.0028,0.7379,2.1833,2.0111,0.7888
