,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.546,0.0295,0.4973,0.0,0.0,,,-0.0077,0.9837,0,724,4,8
0_1,0.8166,0.0475,0.4966,0.0,0.0,,,-0.0087,0.9823,0,723,5,8
0_2,0.66,0.0168,0.4979,0.0,0.0,,,-0.0067,0.9851,0,725,3,8
0_3,0.8032,0.2921,0.6216,0.25,0.2857,,0.2667,0.2597,0.9851,2,723,5,6
0_4,0.7249,0.0687,0.6077,0.2222,0.2857,,0.25,0.2438,0.9837,2,722,5,7
0_5,0.772,0.1686,0.6104,0.2222,0.6667,,0.3333,0.3809,0.9891,2,726,1,7
0_6,0.5595,0.032,0.5459,0.1111,0.0667,,0.0833,0.0714,0.9701,1,713,14,8
0_7,0.6764,0.0999,0.6202,0.25,0.2222,,0.2353,0.2268,0.9823,2,720,7,6
0_8,0.8932,0.4215,0.6236,0.25,0.5,,0.3333,0.3487,0.9891,2,725,2,6
0_9,0.8415,0.1111,0.6216,0.25,0.2857,,0.2667,0.2597,0.985,2,722,5,6
0_Mean,0.7293,0.1288,0.5743,0.1556,0.2313,,0.2527,0.1768,0.9836,1.3,722.3,5.1,7.0
0_SD,0.1176,0.1321,0.0578,0.1151,0.2257,,0.0841,0.151,0.0053,0.9486832980505138,3.7133393177689658,3.5730472522297645,0.9428090415820634
Mean,0.7293,0.1288,0.5743,0.1556,0.2313,,0.2527,0.1768,0.9836,1.3,722.3,5.1,7.0
SD,0.1176,0.1321,0.0578,0.1151,0.2257,,0.0841,0.151,0.0053,0.9487,3.7133,3.573,0.9428
