,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7462,0.1478,0.5799,0.1905,0.1538,,0.1702,0.144,0.947,4,693,22,17
0_1,0.8876,0.1942,0.6678,0.3636,0.2857,,0.32,0.2988,0.9538,8,694,20,14
0_2,0.8352,0.1803,0.6238,0.2727,0.25,,0.2609,0.2373,0.9538,6,696,18,16
0_3,0.8902,0.2053,0.6699,0.3636,0.32,,0.3404,0.3195,0.9579,8,697,17,14
0_4,0.8424,0.264,0.6926,0.4286,0.225,,0.2951,0.2829,0.9415,9,683,31,12
0_5,0.7718,0.1775,0.6478,0.3333,0.2059,,0.2545,0.2344,0.9442,7,687,27,14
0_6,0.7858,0.1739,0.6261,0.2857,0.2,,0.2353,0.2123,0.9469,6,690,24,15
0_7,0.8287,0.2558,0.7633,0.5714,0.2727,,0.3692,0.3698,0.9442,12,682,32,9
0_8,0.8341,0.1557,0.6246,0.2857,0.1875,,0.2264,0.2035,0.9442,6,688,26,15
0_9,0.7797,0.1321,0.6246,0.2857,0.1875,,0.2264,0.2035,0.9442,6,688,26,15
0_Mean,0.8202,0.1887,0.652,0.3381,0.2288,,0.2698,0.2506,0.9478,7.2,689.8,24.3,14.1
0_SD,0.0484,0.0433,0.0503,0.1045,0.052,,0.0608,0.0667,0.0054,2.2010098692292237,5.159672685570493,5.1001089312985375,2.2335820757001272
Mean,0.8202,0.1887,0.652,0.3381,0.2288,,0.2698,0.2506,0.9478,7.2,689.8,24.3,14.1
SD,0.0484,0.0433,0.0503,0.1045,0.052,,0.0608,0.0667,0.0054,2.201,5.1597,5.1001,2.2336
