,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.5499,0.0061,0.4975,0.0,0.0,,,-0.0043,0.9914,0,807,4,3
0_1,0.9059,0.137,0.5,0.0,,,,0.0,0.9963,0,811,0,3
0_2,0.8674,0.0086,0.4994,0.0,0.0,,,-0.0017,0.9963,0,810,1,2
0_3,0.6788,0.1264,0.7488,0.5,0.3333,,0.4,0.4065,0.9963,1,809,2,1
0_4,0.4366,0.3352,0.6654,0.3333,0.3333,,0.3333,0.3309,0.9951,1,808,2,2
0_5,0.7261,0.3373,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_6,0.8679,0.6692,0.8327,0.6667,0.6667,,0.6667,0.6654,0.9975,2,809,1,1
0_7,0.6383,0.3367,0.6654,0.3333,0.3333,,0.3333,0.3309,0.9951,1,808,2,2
0_8,0.607,0.3361,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_9,0.6226,0.3364,0.6667,0.3333,1.0,,0.5,0.5766,0.9975,1,810,0,2
0_Mean,0.6901,0.2629,0.6409,0.2833,0.5185,,0.4619,0.3458,0.9961,0.8,809.2,1.2,2.0
0_SD,0.1524,0.1992,0.1116,0.2229,0.412,,0.1177,0.2644,0.0019,0.6324555320336759,1.2292725943057183,1.3165611772087666,0.6666666666666666
Mean,0.6901,0.2629,0.6409,0.2833,0.5185,,0.4619,0.3458,0.996,0.8,809.2,1.2,2.0
SD,0.1524,0.1992,0.1116,0.2229,0.412,,0.1178,0.2644,0.0019,0.6325,1.2293,1.3166,0.6667
